spec_key,source_specification_id,spec_number,spec_version,spec_title,spec_type_code,spec_type_name,product_key,material_key,site_key,market_key,status_code,status_name,stage_code,stage_name,ctd_section,compendia_reference,effective_start_date,effective_end_date,effective_start_date_key,effective_end_date_key,approval_date,approval_date_key,approver_name,approved_by,supersedes_spec_id,supersedes_spec_key,is_current,valid_from,valid_to,load_timestamp
855133004396303646,SPEC-000011,QC-SPEC-2024-000011,2.3,Tamsulosin In-Process Control Specification,IPC,In-Process Control,275598143179830937,1033581220268184813,123897802993369418,79438863500997711,APP,Approved,COM,Commercial,3.2.S.4.1,,2023-05-25,,20230525,,2023-05-23,20230523,Approver-49,user-38,,,True,2026-02-28T20:37:29.696138,,2026-02-28T20:37:29.696139
596787263030460665,SPEC-000012,QC-SPEC-2025-000012,4.1,Furosemide Excipient Specification,EXCIP,Excipient,716107631686052062,20173574415090879,114246666796624147,719834040361105234,DRA,Draft,DEV,Development,3.2.S.4.2,USP,2020-10-26,,20201026,,2020-10-19,20201019,Approver-31,user-13,,,True,2026-02-28T20:37:29.696174,,2026-02-28T20:37:29.696175
836833517167594673,SPEC-000013,QC-SPEC-2026-000013,4.1,Clopidogrel Drug Substance Specification,DS,Drug Substance,137234978604612401,1116440504580284921,352630313262767873,134681485612096117,SUP,Superseded,COM,Commercial,3.2.S.4.2,EP,2020-02-09,,20200209,,2020-01-21,20200121,Approver-38,user-41,,,True,2026-02-28T20:37:29.696189,,2026-02-28T20:37:29.696190
697094397969738384,SPEC-000014,QC-SPEC-2020-000014,2.5,Levothyroxine Intermediate Specification,INTERMED,Intermediate,540574125827903348,22255550694780829,317572024261877103,268484554233295199,DRA,Draft,DEV,Development,3.2.S.4.2,,2025-07-10,,20250710,,2025-06-19,20250619,Approver-19,user-42,,,True,2026-02-28T20:37:29.696215,,2026-02-28T20:37:29.696216
230794663257972074,SPEC-000015,QC-SPEC-2021-000015,4.1,Rosuvastatin Raw Material Specification,RM,Raw Material,408815016904754485,301217955958974503,795473164318541398,760111678575971204,DRA,Draft,COM,Commercial,3.2.S.4.1,BP,2025-08-22,,20250822,,2025-08-12,20250812,Approver-1,user-21,,,True,2026-02-28T20:37:29.696231,,2026-02-28T20:37:29.696231
631583813653879387,SPEC-000016,QC-SPEC-2022-000016,3.1,Nivolumab Intermediate Specification,INTERMED,Intermediate,118754325017438117,815260603016494641,766016181409944976,719017896462535156,DRA,Draft,CLI,Clinical,3.2.S.4.2,JP,2024-11-04,,20241104,,2024-10-13,20241013,Approver-41,user-44,,,True,2026-02-28T20:37:29.696246,,2026-02-28T20:37:29.696247
710955517229603822,SPEC-000017,QC-SPEC-2023-000017,5.4,Canagliflozin Intermediate Specification,INTERMED,Intermediate,1123665082448025813,336560445772774959,694738612452718043,151224252208255654,APP,Approved,DEV,Development,3.2.P.5.2,,2022-05-23,,20220523,,2022-05-13,20220513,Approver-31,user-7,,,True,2026-02-28T20:37:29.696261,,2026-02-28T20:37:29.696261
476549683813411107,SPEC-000018,QC-SPEC-2024-000018,2.6,Empagliflozin In-Process Control Specification,IPC,In-Process Control,1033742650064444382,952454004594017611,1149565156025236853,840331597385216703,DRA,Draft,COM,Commercial,3.2.S.4.1,EP,2023-08-19,,20230819,,2023-08-13,20230813,Approver-40,user-43,,,True,2026-02-28T20:37:29.696275,,2026-02-28T20:37:29.696276
619063038654599188,SPEC-000019,QC-SPEC-2025-000019,3.7,Insulin Lispro Drug Product Specification,DP,Drug Product,389659098158637539,430763173480746190,100801617554395358,1045047908631349298,DRA,Draft,COM,Commercial,3.2.P.5.2,JP,2023-01-08,,20230108,,2022-12-31,20221231,Approver-10,user-20,,,True,2026-02-28T20:37:29.696291,,2026-02-28T20:37:29.696296
996771335395662482,SPEC-000020,QC-SPEC-2026-000020,4.6,Duloxetine Raw Material Specification,RM,Raw Material,936156829013011645,37357527873225658,172384463309089249,510218675243733257,SUP,Superseded,CLI,Clinical,3.2.P.5.1,BP,2024-10-08,,20241008,,2024-09-19,20240919,Approver-4,user-27,,,True,2026-02-28T20:37:29.696310,,2026-02-28T20:37:29.696311
257850253087119785,SPEC-000021,QC-SPEC-2020-000021,2.3,Cetuximab Raw Material Specification,RM,Raw Material,767500290065272724,688916448201325044,100801617554395358,268484554233295199,SUP,Superseded,DEV,Development,3.2.P.5.2,JP,2020-03-20,,20200320,,2020-02-22,20200222,Approver-24,user-2,,,True,2026-02-28T20:37:29.696325,,2026-02-28T20:37:29.696326
949275793586707438,SPEC-000022,QC-SPEC-2021-000022,2.9,Liraglutide Raw Material Specification,RM,Raw Material,909959804993455660,477509884046828416,1057351768623314821,1045047908631349298,DRA,Draft,CLI,Clinical,3.2.S.4.2,JP,2022-03-27,,20220327,,2022-03-01,20220301,Approver-7,user-5,,,True,2026-02-28T20:37:29.696338,,2026-02-28T20:37:29.696339
470847923686108049,SPEC-000023,QC-SPEC-2022-000023,4.7,Duloxetine Drug Product Specification,DP,Drug Product,854901146329997821,633976117839709314,687171029622168373,134681485612096117,APP,Approved,CLI,Clinical,3.2.S.4.1,JP,2025-04-08,,20250408,,2025-04-06,20250406,Approver-39,user-38,,,True,2026-02-28T20:37:29.696357,,2026-02-28T20:37:29.696358
429212752163662910,SPEC-000024,QC-SPEC-2023-000024,3.1,Carvedilol Excipient Specification,EXCIP,Excipient,172845274452014540,977932262415202316,795473164318541398,1005634818862496797,APP,Approved,DEV,Development,3.2.S.4.2,EP,2024-02-22,,20240222,,2024-02-07,20240207,Approver-48,user-5,,,True,2026-02-28T20:37:29.696373,,2026-02-28T20:37:29.696373
163115160028996361,SPEC-000025,QC-SPEC-2024-000025,2.8,Escitalopram Raw Material Specification,RM,Raw Material,695210134053250691,954731163856762693,150366354319377942,134681485612096117,SUP,Superseded,CLI,Clinical,3.2.P.5.1,BP,2023-05-09,,20230509,,2023-04-20,20230420,Approver-16,user-21,,,True,2026-02-28T20:37:29.696387,,2026-02-28T20:37:29.696388
414959560645730517,SPEC-000026,QC-SPEC-2025-000026,1.2,Hydrochlorothiazide Intermediate Specification,INTERMED,Intermediate,449520618508235219,435857564429467845,883128150624758965,680573631773592303,SUP,Superseded,COM,Commercial,3.2.P.5.1,JP,2023-04-08,,20230408,,2023-03-16,20230316,Approver-24,user-50,,,True,2026-02-28T20:37:29.696401,,2026-02-28T20:37:29.696402
636298082204708344,SPEC-000027,QC-SPEC-2026-000027,3.3,Insulin Glargine Excipient Specification,EXCIP,Excipient,312128951784160904,917694328193162470,1063877619515961722,151224252208255654,SUP,Superseded,DEV,Development,3.2.P.5.2,JP,2025-03-02,,20250302,,2025-02-18,20250218,Approver-39,user-48,,,True,2026-02-28T20:37:29.696422,,2026-02-28T20:37:29.696423
324853856286496585,SPEC-000028,QC-SPEC-2020-000028,1.8,Pantoprazole Drug Substance Specification,DS,Drug Substance,493542789092470614,863743463551122650,612600359045210181,4150961011720645,APP,Approved,DEV,Development,3.2.P.5.1,,2025-06-15,,20250615,,2025-05-20,20250520,Approver-24,user-2,,,True,2026-02-28T20:37:29.696437,,2026-02-28T20:37:29.696437
841379271144768223,SPEC-000029,QC-SPEC-2021-000029,5.5,Omeprazole Intermediate Specification,INTERMED,Intermediate,246662755273259755,728079026377865400,114246666796624147,719834040361105234,DRA,Draft,DEV,Development,3.2.P.5.1,USP,2025-07-08,,20250708,,2025-06-28,20250628,Approver-37,user-6,,,True,2026-02-28T20:37:29.696455,,2026-02-28T20:37:29.696456
435329166016391530,SPEC-000030,QC-SPEC-2022-000030,2.1,Nivolumab Intermediate Specification,INTERMED,Intermediate,148133620413356981,688361802107214203,413331060368526253,134681485612096117,APP,Approved,COM,Commercial,3.2.S.4.2,JP,2025-04-02,,20250402,,2025-03-13,20250313,Approver-30,user-29,,,True,2026-02-28T20:37:29.696468,,2026-02-28T20:37:29.696469
1065564831848905302,SPEC-000031,QC-SPEC-2023-000031,5.6,Dulaglutide In-Process Control Specification,IPC,In-Process Control,568201277160376122,260192556256329708,785882248787823823,297951977983551548,APP,Approved,COM,Commercial,3.2.P.5.1,BP,2023-10-23,,20231023,,2023-10-08,20231008,Approver-37,user-19,,,True,2026-02-28T20:37:29.696483,,2026-02-28T20:37:29.696484
1006360455682203174,SPEC-000032,QC-SPEC-2024-000032,3.3,Sitagliptin Drug Substance Specification,DS,Drug Substance,461112678842663258,945767708238024279,1046740813346471167,556594667284305129,SUP,Superseded,CLI,Clinical,3.2.P.5.2,,2024-10-15,,20241015,,2024-10-10,20241010,Approver-30,user-42,,,True,2026-02-28T20:37:29.696499,,2026-02-28T20:37:29.696500
776211611248828538,SPEC-000033,QC-SPEC-2025-000033,2.3,Acetaminophen In-Process Control Specification,IPC,In-Process Control,249905095817833262,219351863726323975,774915664313290064,869990322986917753,APP,Approved,COM,Commercial,3.2.P.5.2,EP,2021-09-17,,20210917,,2021-09-10,20210910,Approver-7,user-2,,,True,2026-02-28T20:37:29.696518,,2026-02-28T20:37:29.696518
490139942728656140,SPEC-000034,QC-SPEC-2026-000034,3.3,Acetaminophen Intermediate Specification,INTERMED,Intermediate,241625680919614266,677611952431691340,667669419394748145,880098768958337359,SUP,Superseded,DEV,Development,3.2.S.4.1,EP,2020-10-10,,20201010,,2020-09-29,20200929,Approver-20,user-11,,,True,2026-02-28T20:37:29.696532,,2026-02-28T20:37:29.696532
1023130701401013156,SPEC-000035,QC-SPEC-2020-000035,4.1,Sertraline Excipient Specification,EXCIP,Excipient,1041009993852935315,792046931139059856,100801617554395358,880098768958337359,DRA,Draft,DEV,Development,3.2.S.4.2,USP,2020-04-21,,20200421,,2020-04-16,20200416,Approver-29,user-48,,,True,2026-02-28T20:37:29.696546,,2026-02-28T20:37:29.696546
16132756736319150,SPEC-000036,QC-SPEC-2021-000036,4.9,Dulaglutide In-Process Control Specification,IPC,In-Process Control,858735251652955801,253831672277299214,172384463309089249,4150961011720645,APP,Approved,CLI,Clinical,3.2.P.5.1,USP,2022-03-24,,20220324,,2022-03-17,20220317,Approver-12,user-33,,,True,2026-02-28T20:37:29.696558,,2026-02-28T20:37:29.696561
558191162056783231,SPEC-000037,QC-SPEC-2022-000037,5.5,Losartan Intermediate Specification,INTERMED,Intermediate,261353276081289869,218351797492966496,694738612452718043,1152813234676593434,SUP,Superseded,COM,Commercial,3.2.P.5.2,BP,2021-05-07,,20210507,,2021-04-21,20210421,Approver-13,user-14,,,True,2026-02-28T20:37:29.696574,,2026-02-28T20:37:29.696575
55298471799926330,SPEC-000038,QC-SPEC-2023-000038,1.6,Adalimumab Drug Substance Specification,DS,Drug Substance,639308617167818734,1124993376749625286,28990666482691588,717353280968687793,SUP,Superseded,CLI,Clinical,3.2.S.4.2,BP,2025-02-14,,20250214,,2025-02-13,20250213,Approver-7,user-23,,,True,2026-02-28T20:37:29.696590,,2026-02-28T20:37:29.696590
550372193943189951,SPEC-000039,QC-SPEC-2024-000039,4.7,Dulaglutide Raw Material Specification,RM,Raw Material,1115958671608017070,628774567708886933,1046740813346471167,837476206580645380,DRA,Draft,DEV,Development,3.2.P.5.1,JP,2020-12-11,,20201211,,2020-11-20,20201120,Approver-47,user-42,,,True,2026-02-28T20:37:29.696604,,2026-02-28T20:37:29.696605
885733612254395381,SPEC-000040,QC-SPEC-2025-000040,5.2,Amlodipine Raw Material Specification,RM,Raw Material,299978016621838053,687590041168068893,785882248787823823,134681485612096117,APP,Approved,DEV,Development,3.2.S.4.1,BP,2020-02-07,,20200207,,2020-02-02,20200202,Approver-49,user-3,,,True,2026-02-28T20:37:29.696617,,2026-02-28T20:37:29.696618
247874503783393765,SPEC-000041,QC-SPEC-2026-000041,2.6,Lisinopril Drug Substance Specification,DS,Drug Substance,875895386911524357,712780769252661176,428432496504477680,180079035177217696,SUP,Superseded,DEV,Development,3.2.S.4.1,EP,2024-08-26,,20240826,,2024-07-30,20240730,Approver-34,user-10,,,True,2026-02-28T20:37:29.696633,,2026-02-28T20:37:29.696633
24549454014414347,SPEC-000042,QC-SPEC-2020-000042,3.6,Adalimumab In-Process Control Specification,IPC,In-Process Control,741990468292682774,135516203744807016,1130895423210570657,713914735956176051,SUP,Superseded,DEV,Development,3.2.P.5.2,JP,2025-07-30,,20250730,,2025-07-23,20250723,Approver-40,user-21,,,True,2026-02-28T20:37:29.696647,,2026-02-28T20:37:29.696647
1103717796985617348,SPEC-000043,QC-SPEC-2021-000043,4.0,Vildagliptin Drug Substance Specification,DS,Drug Substance,359614313988775403,412967652147746440,918112986228691303,1045047908631349298,APP,Approved,CLI,Clinical,3.2.S.4.2,,2021-08-14,,20210814,,2021-07-15,20210715,Approver-47,user-34,,,True,2026-02-28T20:37:29.696660,,2026-02-28T20:37:29.696660
342600057407351427,SPEC-000044,QC-SPEC-2022-000044,1.7,Insulin Glargine Drug Product Specification,DP,Drug Product,486891240366752372,588943282626410734,1046740813346471167,1130563994191591813,APP,Approved,DEV,Development,3.2.S.4.2,BP,2024-09-15,,20240915,,2024-09-12,20240912,Approver-35,user-29,,,True,2026-02-28T20:37:29.696675,,2026-02-28T20:37:29.696676
1000570022868107136,SPEC-000045,QC-SPEC-2023-000045,3.8,Cetuximab Drug Product Specification,DP,Drug Product,609573546344569451,635289958661830243,994180550334117185,624061991745648713,SUP,Superseded,COM,Commercial,3.2.P.5.2,,2022-11-18,,20221118,,2022-11-13,20221113,Approver-43,user-46,,,True,2026-02-28T20:37:29.696688,,2026-02-28T20:37:29.696689
770496701031109018,SPEC-000046,QC-SPEC-2024-000046,2.2,Rosuvastatin Drug Substance Specification,DS,Drug Substance,1063739370168460945,952454004594017611,612182827333231462,840331597385216703,DRA,Draft,CLI,Clinical,3.2.S.4.1,USP,2022-06-17,,20220617,,2022-05-31,20220531,Approver-48,user-7,,,True,2026-02-28T20:37:29.696702,,2026-02-28T20:37:29.696703
1125631976819091913,SPEC-000047,QC-SPEC-2025-000047,3.5,Metformin In-Process Control Specification,IPC,In-Process Control,377949331635499237,272521932933561243,212293228681572212,151224252208255654,DRA,Draft,CLI,Clinical,3.2.S.4.2,,2022-10-23,,20221023,,2022-10-17,20221017,Approver-34,user-34,,,True,2026-02-28T20:37:29.696716,,2026-02-28T20:37:29.696720
417780502079886563,SPEC-000048,QC-SPEC-2026-000048,1.6,Tamsulosin Intermediate Specification,INTERMED,Intermediate,1125248516868076356,569646958258106278,428432496504477680,760111678575971204,DRA,Draft,DEV,Development,3.2.P.5.1,EP,2021-08-17,,20210817,,2021-07-29,20210729,Approver-12,user-1,,,True,2026-02-28T20:37:29.696735,,2026-02-28T20:37:29.696736
1115956786997786452,SPEC-000049,QC-SPEC-2020-000049,5.7,Clopidogrel Drug Product Specification,DP,Drug Product,556733323901889152,989654754661860484,1130895423210570657,4150961011720645,SUP,Superseded,DEV,Development,3.2.S.4.2,JP,2023-08-14,,20230814,,2023-08-13,20230813,Approver-13,user-41,,,True,2026-02-28T20:37:29.696751,,2026-02-28T20:37:29.696752
103819300757670537,SPEC-000050,QC-SPEC-2021-000050,3.8,Semaglutide Intermediate Specification,INTERMED,Intermediate,537194213088278139,1141340432197831260,19632869490552304,268484554233295199,DRA,Draft,CLI,Clinical,3.2.P.5.2,JP,2024-12-06,,20241206,,2024-12-02,20241202,Approver-12,user-17,,,True,2026-02-28T20:37:29.696768,,2026-02-28T20:37:29.696768
398788764917704431,SPEC-000051,QC-SPEC-2022-000051,5.4,Valsartan Raw Material Specification,RM,Raw Material,607979074285322091,21019147649439064,933618731918284868,869990322986917753,DRA,Draft,COM,Commercial,3.2.P.5.1,JP,2023-11-03,,20231103,,2023-10-09,20231009,Approver-28,user-42,,,True,2026-02-28T20:37:29.696782,,2026-02-28T20:37:29.696783
377900332194501482,SPEC-000052,QC-SPEC-2023-000052,5.4,Alogliptin Drug Substance Specification,DS,Drug Substance,217844240838089918,613350872700805506,1063877619515961722,680573631773592303,SUP,Superseded,DEV,Development,3.2.S.4.1,JP,2021-03-31,,20210331,,2021-03-27,20210327,Approver-20,user-29,,,True,2026-02-28T20:37:29.696796,,2026-02-28T20:37:29.696796
71258809524687519,SPEC-000053,QC-SPEC-2024-000053,2.3,Ibuprofen Excipient Specification,EXCIP,Excipient,944018692056929251,728079026377865400,785882248787823823,4150961011720645,SUP,Superseded,DEV,Development,3.2.P.5.1,EP,2025-09-23,,20250923,,2025-09-16,20250916,Approver-47,user-48,,,True,2026-02-28T20:37:29.696810,,2026-02-28T20:37:29.696811
1106095778886702833,SPEC-000054,QC-SPEC-2025-000054,1.8,Acetaminophen Raw Material Specification,RM,Raw Material,241625680919614266,954731163856762693,196092002886341781,869990322986917753,SUP,Superseded,COM,Commercial,3.2.P.5.2,,2025-12-13,,20251213,,2025-11-26,20251126,Approver-15,user-45,,,True,2026-02-28T20:37:29.696828,,2026-02-28T20:37:29.696829
575491177941767489,SPEC-000055,QC-SPEC-2026-000055,2.8,Nivolumab Intermediate Specification,INTERMED,Intermediate,148133620413356981,676505282582859200,1149565156025236853,809932346083823820,APP,Approved,CLI,Clinical,3.2.S.4.2,EP,2022-07-15,,20220715,,2022-06-18,20220618,Approver-18,user-4,,,True,2026-02-28T20:37:29.696844,,2026-02-28T20:37:29.696845
1044946406072388398,SPEC-000056,QC-SPEC-2020-000056,3.2,Saxagliptin Excipient Specification,EXCIP,Excipient,981913223122277051,168242701031064666,1090498828547780005,225472403720219151,DRA,Draft,CLI,Clinical,3.2.P.5.2,USP,2025-05-05,,20250505,,2025-04-20,20250420,Approver-5,user-17,,,True,2026-02-28T20:37:29.696858,,2026-02-28T20:37:29.696859
1214636269846929,SPEC-000057,QC-SPEC-2021-000057,4.2,Prednisone In-Process Control Specification,IPC,In-Process Control,264194288135258653,574582716069972692,687171029622168373,180079035177217696,SUP,Superseded,COM,Commercial,3.2.S.4.1,BP,2020-09-30,,20200930,,2020-09-28,20200928,Approver-11,user-49,,,True,2026-02-28T20:37:29.696873,,2026-02-28T20:37:29.696874
24199871737184633,SPEC-000058,QC-SPEC-2022-000058,3.1,Amoxicillin Drug Product Specification,DP,Drug Product,235461225484649422,44886306419309689,349700393308997088,134681485612096117,DRA,Draft,DEV,Development,3.2.S.4.1,JP,2022-03-03,,20220303,,2022-02-23,20220223,Approver-9,user-26,,,True,2026-02-28T20:37:29.696887,,2026-02-28T20:37:29.696887
100032447293343620,SPEC-000059,QC-SPEC-2023-000059,3.5,Prednisone Drug Substance Specification,DS,Drug Substance,888974748307752303,954731163856762693,547473128815303591,1084898903644199868,SUP,Superseded,COM,Commercial,3.2.P.5.1,USP,2021-08-06,,20210806,,2021-07-15,20210715,Approver-34,user-20,,,True,2026-02-28T20:37:29.696907,,2026-02-28T20:37:29.696908
1074643715770915597,SPEC-000060,QC-SPEC-2024-000060,1.8,Rosuvastatin Intermediate Specification,INTERMED,Intermediate,360132152078606289,556373998400714045,1046740813346471167,760111678575971204,APP,Approved,COM,Commercial,3.2.S.4.2,EP,2024-11-30,,20241130,,2024-11-20,20241120,Approver-5,user-49,,,True,2026-02-28T20:37:29.696921,,2026-02-28T20:37:29.696922
927773620644959311,SPEC-000061,QC-SPEC-2025-000061,4.6,Furosemide In-Process Control Specification,IPC,In-Process Control,245745394246133660,926504500658185582,721739277798666228,680573631773592303,DRA,Draft,CLI,Clinical,3.2.S.4.1,BP,2022-11-12,,20221112,,2022-11-08,20221108,Approver-49,user-19,,,True,2026-02-28T20:37:29.696935,,2026-02-28T20:37:29.696936
449483229158502749,SPEC-000062,QC-SPEC-2026-000062,4.6,Rosuvastatin Drug Product Specification,DP,Drug Product,1053144275250980463,213708846741377507,212293228681572212,869990322986917753,SUP,Superseded,DEV,Development,3.2.P.5.1,USP,2025-07-18,,20250718,,2025-06-21,20250621,Approver-50,user-18,,,True,2026-02-28T20:37:29.696950,,2026-02-28T20:37:29.696951
1115426226423603762,SPEC-000063,QC-SPEC-2020-000063,3.5,Hydrochlorothiazide In-Process Control Specification,IPC,In-Process Control,395915292889134612,641801478954059055,723297155562110187,79438863500997711,SUP,Superseded,CLI,Clinical,3.2.P.5.1,USP,2023-09-08,,20230908,,2023-08-25,20230825,Approver-7,user-46,,,True,2026-02-28T20:37:29.696963,,2026-02-28T20:37:29.696964
403091754721143885,SPEC-000064,QC-SPEC-2021-000064,4.8,Cetuximab Excipient Specification,EXCIP,Excipient,566172641180576253,404137336053296611,192968342959973654,691862151663912276,APP,Approved,COM,Commercial,3.2.S.4.2,,2022-12-24,,20221224,,2022-12-20,20221220,Approver-34,user-43,,,True,2026-02-28T20:37:29.696977,,2026-02-28T20:37:29.696977
1099308088468462913,SPEC-000065,QC-SPEC-2022-000065,2.5,Empagliflozin Excipient Specification,EXCIP,Excipient,158897841461444838,723300867262234279,196092002886341781,717353280968687793,APP,Approved,COM,Commercial,3.2.S.4.2,BP,2021-04-26,,20210426,,2021-04-01,20210401,Approver-46,user-48,,,True,2026-02-28T20:37:29.696994,,2026-02-28T20:37:29.696995
738659140046058497,SPEC-000066,QC-SPEC-2023-000066,4.6,Sitagliptin Drug Substance Specification,DS,Drug Substance,349664983113352657,666092222266711156,1063877619515961722,134681485612096117,DRA,Draft,COM,Commercial,3.2.P.5.1,EP,2025-11-11,,20251111,,2025-11-09,20251109,Approver-37,user-12,,,True,2026-02-28T20:37:29.697009,,2026-02-28T20:37:29.697010
77951864124826333,SPEC-000067,QC-SPEC-2024-000067,4.4,Sertraline Drug Substance Specification,DS,Drug Substance,17879469996259073,822614675163700797,1090498828547780005,719834040361105234,SUP,Superseded,CLI,Clinical,3.2.P.5.2,JP,2020-04-26,,20200426,,2020-04-02,20200402,Approver-23,user-16,,,True,2026-02-28T20:37:29.697022,,2026-02-28T20:37:29.697023
970626439047720527,SPEC-000068,QC-SPEC-2025-000068,2.3,Liraglutide Raw Material Specification,RM,Raw Material,909959804993455660,1005565315612267497,652713864818073742,297951977983551548,DRA,Draft,DEV,Development,3.2.P.5.2,BP,2022-12-13,,20221213,,2022-11-18,20221118,Approver-49,user-23,,,True,2026-02-28T20:37:29.697038,,2026-02-28T20:37:29.697038
19644689635299610,SPEC-000069,QC-SPEC-2026-000069,3.1,Clopidogrel Drug Product Specification,DP,Drug Product,337999844030708799,952337836431060979,19632869490552304,1005634818862496797,DRA,Draft,DEV,Development,3.2.P.5.1,BP,2022-07-21,,20220721,,2022-07-10,20220710,Approver-21,user-40,,,True,2026-02-28T20:37:29.697051,,2026-02-28T20:37:29.697051
991473936643151910,SPEC-000070,QC-SPEC-2020-000070,3.7,Insulin Glargine Excipient Specification,EXCIP,Excipient,943782163874160047,1014226176242527789,612182827333231462,268484554233295199,SUP,Superseded,DEV,Development,3.2.P.5.2,EP,2025-06-11,,20250611,,2025-05-30,20250530,Approver-11,user-21,,,True,2026-02-28T20:37:29.697081,,2026-02-28T20:37:29.697084
246619695779763005,SPEC-000071,QC-SPEC-2021-000071,5.8,Fluoxetine Drug Substance Specification,DS,Drug Substance,771578090231413107,1090471605783780732,28990666482691588,837476206580645380,APP,Approved,DEV,Development,3.2.S.4.1,BP,2023-04-28,,20230428,,2023-04-03,20230403,Approver-40,user-45,,,True,2026-02-28T20:37:29.697097,,2026-02-28T20:37:29.697098
533257091908800739,SPEC-000072,QC-SPEC-2022-000072,3.6,Prednisone Drug Substance Specification,DS,Drug Substance,43900186370578611,809311749786618328,1011726151622241361,840331597385216703,APP,Approved,DEV,Development,3.2.S.4.1,BP,2023-10-25,,20231025,,2023-10-07,20231007,Approver-7,user-48,,,True,2026-02-28T20:37:29.697111,,2026-02-28T20:37:29.697112
