spec_item_key,source_spec_item_id,spec_key,test_method_key,uom_key,test_code,test_name,analyte_code,test_category_code,test_category_name,test_subcategory,criticality,sequence_number,is_required,is_compendial,is_stability_indicating,reporting_type,result_precision,compendia_test_ref,stage_applicability,reporting_threshold,identification_threshold,qualification_threshold,is_current,valid_from,valid_to,load_timestamp
810349496719174607,ITEM-0000011,839918777395100879,475940553501904876,,RESI,Residual Solvents,RES,PHY,Physical,,CCQA,11,True,False,True,NUMERIC,3,USP <325>,RELEASE,,,,True,2026-02-28T06:26:33.608214,,2026-02-28T06:26:33.608215
1010634974684811304,ITEM-0000012,839918777395100879,688942080807271103,,WEIG,Weight Variation,WEI,IMP,Impurities,,CQA,12,True,False,True,TEXT,0,,RELEASE,0.189913,0.118832,0.61059,True,2026-02-28T06:26:33.608229,,2026-02-28T06:26:33.608230
1133777632843551593,ITEM-0000013,168212746507093989,1131008796687872433,,HEAV,Heavy Metals,HEA,PACK,Packaging,,CQA,1,True,False,True,REPORT_ONLY,1,USP <528>,RELEASE,,,,True,2026-02-28T06:26:33.608245,,2026-02-28T06:26:33.608246
622943320687334287,ITEM-0000014,168212746507093989,689908711384761572,,UNIF,Uniformity of Dosage Units,UNI,MIC,Microbiology,,REPORT,2,True,True,False,REPORT_ONLY,2,,RELEASE,,,,True,2026-02-28T06:26:33.608253,,2026-02-28T06:26:33.608254
954216531286969758,ITEM-0000015,168212746507093989,849135193523682647,,MOIS,Moisture,MOI,PHY,Physical,,NCQA,3,True,False,False,PASS_FAIL,2,USP <578>,BOTH,,,,True,2026-02-28T06:26:33.608260,,2026-02-28T06:26:33.608261
494845616769135520,ITEM-0000016,168212746507093989,592852741159351427,,PART,Particle Size,PAR,PHY,Physical,,NCQA,4,True,False,False,REPORT_ONLY,2,USP <884>,BOTH,,,,True,2026-02-28T06:26:33.608266,,2026-02-28T06:26:33.608267
1101886835128755599,ITEM-0000017,168212746507093989,992120474721794293,,SPEC,Specific Rotation,SPE,IMP,Impurities,,REPORT,5,True,True,True,NUMERIC,3,USP <111>,BOTH,0.162824,0.251064,0.405128,True,2026-02-28T06:26:33.608277,,2026-02-28T06:26:33.608278
489404070865989852,ITEM-0000018,168212746507093989,855044868572934509,,HARD,Hardness,HAR,MIC,Microbiology,,REPORT,6,True,True,True,REPORT_ONLY,2,USP <226>,BOTH,,,,True,2026-02-28T06:26:33.608285,,2026-02-28T06:26:33.608286
986018343227796278,ITEM-0000019,168212746507093989,130546805404781650,,MICR,Microbial Limits,MIC,MIC,Microbiology,,NCQA,7,True,True,False,REPORT_ONLY,3,,STABILITY,,,,True,2026-02-28T06:26:33.608292,,2026-02-28T06:26:33.608293
82636207811984994,ITEM-0000020,168212746507093989,844954602749148524,,IDEN,Identification,IDE,CHE,Chemical,,KQA,8,True,False,False,PASS_FAIL,3,,BOTH,,,,True,2026-02-28T06:26:33.608298,,2026-02-28T06:26:33.608299
1042842073955601827,ITEM-0000021,168212746507093989,977359159946065137,,DISI,Disintegration,DIS,IMP,Impurities,,CCQA,9,True,False,True,TEXT,1,USP <965>,RELEASE,0.114674,0.206388,0.740631,True,2026-02-28T06:26:33.608306,,2026-02-28T06:26:33.608307
2660023894193182,ITEM-0000022,168212746507093989,81644863297928720,,LOSS,Loss on Drying,LOS,BIO,Biological,,CCQA,10,True,False,False,REPORT_ONLY,0,,STABILITY,,,,True,2026-02-28T06:26:33.608312,,2026-02-28T06:26:33.608313
410486718608149466,ITEM-0000023,168212746507093989,1021589744446912506,,ASSA,Assay,ASS,PHY,Physical,,NCQA,11,False,True,False,TEXT,0,USP <573>,BOTH,,,,True,2026-02-28T06:26:33.608322,,2026-02-28T06:26:33.608323
1106560494147923833,ITEM-0000024,168212746507093989,354707866468696308,,RESI,Residual Solvents,RES,IMP,Impurities,,KQA,12,True,False,False,PASS_FAIL,0,USP <106>,RELEASE,0.150235,0.47942,0.327228,True,2026-02-28T06:26:33.608332,,2026-02-28T06:26:33.608333
621255733457320644,ITEM-0000025,241161733830672501,353514940778219050,,IDEN,Identification,IDE,PHY,Physical,,CCQA,1,True,False,True,TEXT,3,,BOTH,,,,True,2026-02-28T06:26:33.608345,,2026-02-28T06:26:33.608345
743913575922262305,ITEM-0000026,241161733830672501,489675165007522308,,UNIF,Uniformity of Dosage Units,UNI,PACK,Packaging,,REPORT,2,True,True,False,PASS_FAIL,2,USP <980>,RELEASE,,,,True,2026-02-28T06:26:33.608351,,2026-02-28T06:26:33.608352
302278239107777869,ITEM-0000027,241161733830672501,333778768537110317,,IMPU,Impurity A,IMP,PACK,Packaging,,KQA,3,True,False,True,NUMERIC,2,,STABILITY,,,,True,2026-02-28T06:26:33.608360,,2026-02-28T06:26:33.608361
295454215435879485,ITEM-0000028,241161733830672501,112574897195225051,,TOTA,Total Impurities,TOT,CHE,Chemical,,KQA,4,True,False,True,NUMERIC,1,USP <794>,STABILITY,,,,True,2026-02-28T06:26:33.608369,,2026-02-28T06:26:33.608370
213222246817445489,ITEM-0000029,241161733830672501,1025353963527608479,,MOIS,Moisture,MOI,PACK,Packaging,,CCQA,5,True,True,True,PASS_FAIL,2,USP <826>,STABILITY,,,,True,2026-02-28T06:26:33.608379,,2026-02-28T06:26:33.608380
961432095745357808,ITEM-0000030,241161733830672501,716235564847212104,,FRIA,Friability,FRI,BIO,Biological,,NCQA,6,True,True,True,REPORT_ONLY,3,USP <222>,RELEASE,,,,True,2026-02-28T06:26:33.608385,,2026-02-28T06:26:33.608386
270214524545206497,ITEM-0000031,241161733830672501,447870526450914189,,WEIG,Weight Variation,WEI,MIC,Microbiology,,CQA,7,True,False,False,REPORT_ONLY,0,USP <613>,STABILITY,,,,True,2026-02-28T06:26:33.608391,,2026-02-28T06:26:33.608392
522883251965618724,ITEM-0000032,766490699822387581,672810363414618709,,WEIG,Weight Variation,WEI,STER,Sterility,,KQA,1,True,True,False,REPORT_ONLY,3,USP <859>,RELEASE,,,,True,2026-02-28T06:26:33.608401,,2026-02-28T06:26:33.608402
369052558208027142,ITEM-0000033,766490699822387581,1016056960195556942,,MICR,Microbial Limits,MIC,STER,Sterility,,KQA,2,True,True,False,PASS_FAIL,0,USP <535>,STABILITY,,,,True,2026-02-28T06:26:33.608411,,2026-02-28T06:26:33.608412
247219216214322319,ITEM-0000034,766490699822387581,717777285717911934,,DISS,Dissolution,DIS,STER,Sterility,,KQA,3,True,True,True,TEXT,2,,BOTH,,,,True,2026-02-28T06:26:33.608417,,2026-02-28T06:26:33.608418
396935419449894973,ITEM-0000035,766490699822387581,565377840640053612,,PH,pH,PH,MIC,Microbiology,,CQA,4,True,False,True,REPORT_ONLY,2,USP <531>,RELEASE,,,,True,2026-02-28T06:26:33.608423,,2026-02-28T06:26:33.608424
315736861746376107,ITEM-0000036,766490699822387581,239940012597115704,,DISI,Disintegration,DIS,CHE,Chemical,,KQA,5,True,True,True,TEXT,0,USP <805>,BOTH,,,,True,2026-02-28T06:26:33.608430,,2026-02-28T06:26:33.608433
964630892069410637,ITEM-0000037,766490699822387581,284126704799972863,,MOIS,Moisture,MOI,BIO,Biological,,REPORT,6,True,False,False,TEXT,1,USP <384>,RELEASE,,,,True,2026-02-28T06:26:33.608439,,2026-02-28T06:26:33.608440
1113589111654480444,ITEM-0000038,766490699822387581,1046540316505782814,,DESC,Description,DES,CHE,Chemical,,CCQA,7,True,False,True,PASS_FAIL,0,,STABILITY,,,,True,2026-02-28T06:26:33.608447,,2026-02-28T06:26:33.608448
173938948226206241,ITEM-0000039,810993877335297235,1152767176645158238,,ASSA,Assay,ASS,STER,Sterility,,CQA,1,True,False,True,TEXT,3,,STABILITY,,,,True,2026-02-28T06:26:33.608458,,2026-02-28T06:26:33.608459
277938165537354373,ITEM-0000040,810993877335297235,1014208029494186655,,MICR,Microbial Limits,MIC,PHY,Physical,,NCQA,2,True,True,False,REPORT_ONLY,3,USP <744>,STABILITY,,,,True,2026-02-28T06:26:33.608464,,2026-02-28T06:26:33.608465
716752206924831005,ITEM-0000041,810993877335297235,1061934110496414612,,IMPU,Impurity A,IMP,IMP,Impurities,,NCQA,3,True,True,False,NUMERIC,0,,STABILITY,0.152843,0.395435,0.496466,True,2026-02-28T06:26:33.608474,,2026-02-28T06:26:33.608475
14873221362548182,ITEM-0000042,810993877335297235,602215256033389906,,FRIA,Friability,FRI,MIC,Microbiology,,KQA,4,True,True,True,REPORT_ONLY,2,,STABILITY,,,,True,2026-02-28T06:26:33.608481,,2026-02-28T06:26:33.608482
365035785859025467,ITEM-0000043,1099413194129929530,658910003090713864,,RESI,Residual Solvents,RES,STER,Sterility,,NCQA,1,True,False,False,TEXT,2,USP <924>,RELEASE,,,,True,2026-02-28T06:26:33.608499,,2026-02-28T06:26:33.608501
947297626841648804,ITEM-0000044,1099413194129929530,747441684087599164,,LOSS,Loss on Drying,LOS,MIC,Microbiology,,NCQA,2,False,True,True,REPORT_ONLY,1,USP <549>,BOTH,,,,True,2026-02-28T06:26:33.608509,,2026-02-28T06:26:33.608510
769013245042381293,ITEM-0000045,1099413194129929530,781831570325269114,,DISI,Disintegration,DIS,BIO,Biological,,KQA,3,True,True,False,TEXT,1,,RELEASE,,,,True,2026-02-28T06:26:33.608517,,2026-02-28T06:26:33.608519
294101069654265121,ITEM-0000046,1099413194129929530,1014191434090523928,,UNIF,Uniformity of Dosage Units,UNI,MIC,Microbiology,,CQA,4,True,True,True,REPORT_ONLY,1,,BOTH,,,,True,2026-02-28T06:26:33.608526,,2026-02-28T06:26:33.608528
814389938868459823,ITEM-0000047,1099413194129929530,375028925734237889,,SPEC,Specific Rotation,SPE,MIC,Microbiology,,CCQA,5,True,True,True,NUMERIC,0,USP <736>,STABILITY,,,,True,2026-02-28T06:26:33.608536,,2026-02-28T06:26:33.608537
1089809476517242273,ITEM-0000048,1099413194129929530,1053121937397900953,,ASSA,Assay,ASS,CHE,Chemical,,NCQA,6,True,True,False,NUMERIC,1,,RELEASE,,,,True,2026-02-28T06:26:33.608544,,2026-02-28T06:26:33.608546
39013013025506491,ITEM-0000049,1099413194129929530,193309893763459855,,PH,pH,PH,IMP,Impurities,,CCQA,7,False,False,True,PASS_FAIL,1,USP <539>,RELEASE,0.184526,0.143398,0.289631,True,2026-02-28T06:26:33.608560,,2026-02-28T06:26:33.608561
465543632636035838,ITEM-0000050,1099413194129929530,111633675811492451,,HARD,Hardness,HAR,IMP,Impurities,,CQA,8,True,False,True,TEXT,3,USP <537>,STABILITY,0.10573,0.378612,0.484383,True,2026-02-28T06:26:33.608571,,2026-02-28T06:26:33.608572
472706631143233957,ITEM-0000051,1099413194129929530,863103097001944519,,CONT,Content Uniformity,CON,MIC,Microbiology,,CQA,9,True,False,False,REPORT_ONLY,2,USP <632>,STABILITY,,,,True,2026-02-28T06:26:33.608580,,2026-02-28T06:26:33.608581
600056076557049330,ITEM-0000052,1099413194129929530,760241540807814791,,MICR,Microbial Limits,MIC,STER,Sterility,,REPORT,10,True,False,False,PASS_FAIL,3,USP <289>,BOTH,,,,True,2026-02-28T06:26:33.608589,,2026-02-28T06:26:33.608590
578417899411018306,ITEM-0000053,955496467421474283,170274395439858722,,WEIG,Weight Variation,WEI,MIC,Microbiology,,CCQA,1,True,False,True,TEXT,3,,BOTH,,,,True,2026-02-28T06:26:33.608605,,2026-02-28T06:26:33.608606
873190829595652521,ITEM-0000054,955496467421474283,782999096285743161,,IDEN,Identification,IDE,PHY,Physical,,KQA,2,True,True,False,REPORT_ONLY,0,USP <185>,BOTH,,,,True,2026-02-28T06:26:33.608617,,2026-02-28T06:26:33.608618
874844329601217056,ITEM-0000055,955496467421474283,363837244219518702,,MOIS,Moisture,MOI,BIO,Biological,,REPORT,3,True,True,True,REPORT_ONLY,1,,STABILITY,,,,True,2026-02-28T06:26:33.608624,,2026-02-28T06:26:33.608625
1127106773087464759,ITEM-0000056,955496467421474283,1124537797375273656,,RESI,Residual Solvents,RES,BIO,Biological,,NCQA,4,True,True,True,PASS_FAIL,3,USP <182>,BOTH,,,,True,2026-02-28T06:26:33.608632,,2026-02-28T06:26:33.608633
1017554299455811401,ITEM-0000057,955496467421474283,375028925734237889,,HEAV,Heavy Metals,HEA,IMP,Impurities,,CCQA,5,True,True,True,REPORT_ONLY,3,USP <736>,RELEASE,0.115116,0.325836,0.870766,True,2026-02-28T06:26:33.608639,,2026-02-28T06:26:33.608640
763303072333075546,ITEM-0000058,144512312174324404,528431767681308199,,CONT,Content Uniformity,CON,BIO,Biological,,CQA,1,True,True,False,PASS_FAIL,0,,RELEASE,,,,True,2026-02-28T06:26:33.608652,,2026-02-28T06:26:33.608653
161389773001439576,ITEM-0000059,144512312174324404,849135193523682647,,ASSA,Assay,ASS,STER,Sterility,,KQA,2,True,True,False,TEXT,0,USP <578>,BOTH,,,,True,2026-02-28T06:26:33.608660,,2026-02-28T06:26:33.608661
1110520884750255568,ITEM-0000060,144512312174324404,1133686685018490213,,TOTA,Total Impurities,TOT,STER,Sterility,,NCQA,3,True,True,False,TEXT,2,,STABILITY,,,,True,2026-02-28T06:26:33.608667,,2026-02-28T06:26:33.608668
251792899824745931,ITEM-0000061,144512312174324404,398044769376481218,,UNIF,Uniformity of Dosage Units,UNI,CHE,Chemical,,CCQA,4,False,True,False,PASS_FAIL,1,,BOTH,,,,True,2026-02-28T06:26:33.608673,,2026-02-28T06:26:33.608676
395026843611458494,ITEM-0000062,894311032064620416,683949382474304179,,MOIS,Moisture,MOI,MIC,Microbiology,,CCQA,1,True,True,False,TEXT,0,USP <726>,RELEASE,,,,True,2026-02-28T06:26:33.608686,,2026-02-28T06:26:33.608687
595470948713627729,ITEM-0000063,894311032064620416,622607889123943603,,DISS,Dissolution,DIS,STER,Sterility,,KQA,2,True,True,True,TEXT,0,USP <867>,BOTH,,,,True,2026-02-28T06:26:33.608692,,2026-02-28T06:26:33.608693
708191045041448028,ITEM-0000064,894311032064620416,239940012597115704,,PART,Particle Size,PAR,CHE,Chemical,,CQA,3,True,False,False,TEXT,0,USP <805>,STABILITY,,,,True,2026-02-28T06:26:33.608700,,2026-02-28T06:26:33.608701
17651834348656655,ITEM-0000065,894311032064620416,220662406548072931,,TOTA,Total Impurities,TOT,IMP,Impurities,,CQA,4,True,True,False,PASS_FAIL,1,USP <664>,BOTH,0.058116,0.333703,0.952208,True,2026-02-28T06:26:33.608709,,2026-02-28T06:26:33.608710
761987435687374008,ITEM-0000066,894311032064620416,966969504227559946,,DESC,Description,DES,BIO,Biological,,KQA,5,False,False,False,PASS_FAIL,0,USP <487>,RELEASE,,,,True,2026-02-28T06:26:33.608715,,2026-02-28T06:26:33.608716
784511813598130469,ITEM-0000067,894311032064620416,475940553501904876,,IMPU,Impurity A,IMP,PHY,Physical,,KQA,6,True,True,False,TEXT,1,USP <325>,RELEASE,,,,True,2026-02-28T06:26:33.608727,,2026-02-28T06:26:33.608728
1122503597945742178,ITEM-0000068,894311032064620416,384896059459405626,,LOSS,Loss on Drying,LOS,PACK,Packaging,,KQA,7,True,True,False,TEXT,2,,STABILITY,,,,True,2026-02-28T06:26:33.608734,,2026-02-28T06:26:33.608735
675933890076680906,ITEM-0000069,860176347951835449,781831570325269114,,RESI,Residual Solvents,RES,PHY,Physical,,NCQA,1,True,False,True,REPORT_ONLY,3,,RELEASE,,,,True,2026-02-28T06:26:33.608746,,2026-02-28T06:26:33.608746
987693156853825307,ITEM-0000070,860176347951835449,230174159785225214,,CONT,Content Uniformity,CON,STER,Sterility,,CCQA,2,True,True,True,PASS_FAIL,2,,RELEASE,,,,True,2026-02-28T06:26:33.608757,,2026-02-28T06:26:33.608758
875486046327514370,ITEM-0000071,860176347951835449,180063759802341024,,MICR,Microbial Limits,MIC,STER,Sterility,,CQA,3,True,True,False,NUMERIC,1,,STABILITY,,,,True,2026-02-28T06:26:33.608763,,2026-02-28T06:26:33.608764
359471237532793209,ITEM-0000072,860176347951835449,1100161018334745056,,TOTA,Total Impurities,TOT,STER,Sterility,,CCQA,4,True,True,False,TEXT,1,,STABILITY,,,,True,2026-02-28T06:26:33.608770,,2026-02-28T06:26:33.608771
1043346610894481053,ITEM-0000073,860176347951835449,354707866468696308,,PH,pH,PH,MIC,Microbiology,,CCQA,5,True,True,True,PASS_FAIL,0,USP <106>,RELEASE,,,,True,2026-02-28T06:26:33.608776,,2026-02-28T06:26:33.608777
1016073865762894770,ITEM-0000074,860176347951835449,224833130443343931,,HARD,Hardness,HAR,PHY,Physical,,REPORT,6,True,True,False,PASS_FAIL,2,,STABILITY,,,,True,2026-02-28T06:26:33.608785,,2026-02-28T06:26:33.608786
160808841972577512,ITEM-0000075,860176347951835449,180063759802341024,,WEIG,Weight Variation,WEI,STER,Sterility,,CQA,7,True,True,False,NUMERIC,3,,BOTH,,,,True,2026-02-28T06:26:33.608794,,2026-02-28T06:26:33.608795
751806733035009184,ITEM-0000076,860176347951835449,776401339870399285,,IMPU,Impurity A,IMP,CHE,Chemical,,CQA,8,True,True,True,TEXT,0,USP <708>,RELEASE,,,,True,2026-02-28T06:26:33.608800,,2026-02-28T06:26:33.608801
388187007943083685,ITEM-0000077,860176347951835449,416393468731628471,,UNIF,Uniformity of Dosage Units,UNI,STER,Sterility,,NCQA,9,True,False,False,PASS_FAIL,3,USP <686>,STABILITY,,,,True,2026-02-28T06:26:33.608805,,2026-02-28T06:26:33.608806
1001024375108302450,ITEM-0000078,860176347951835449,333943861408378278,,MOIS,Moisture,MOI,IMP,Impurities,,CCQA,10,True,True,True,REPORT_ONLY,0,USP <920>,STABILITY,0.072103,0.376007,0.984464,True,2026-02-28T06:26:33.608813,,2026-02-28T06:26:33.608814
812915331445125660,ITEM-0000079,860176347951835449,1010941424791986909,,PART,Particle Size,PAR,PHY,Physical,,CQA,11,True,False,True,REPORT_ONLY,3,,BOTH,,,,True,2026-02-28T06:26:33.608823,,2026-02-28T06:26:33.608824
1020759523410407537,ITEM-0000080,855133004396303646,245057921812404793,,WEIG,Weight Variation,WEI,PHY,Physical,,REPORT,1,True,False,True,PASS_FAIL,0,,RELEASE,,,,True,2026-02-28T06:26:33.608834,,2026-02-28T06:26:33.608835
677956389099231173,ITEM-0000081,855133004396303646,844456782920556427,,IDEN,Identification,IDE,BIO,Biological,,CQA,2,True,True,False,PASS_FAIL,2,USP <287>,BOTH,,,,True,2026-02-28T06:26:33.608841,,2026-02-28T06:26:33.608842
958515920104921392,ITEM-0000082,855133004396303646,716235564847212104,,HARD,Hardness,HAR,PACK,Packaging,,KQA,3,True,True,False,TEXT,2,USP <222>,STABILITY,,,,True,2026-02-28T06:26:33.608847,,2026-02-28T06:26:33.608847
333016868841009919,ITEM-0000083,855133004396303646,467007036725043596,,MICR,Microbial Limits,MIC,BIO,Biological,,KQA,4,True,False,True,REPORT_ONLY,0,,RELEASE,,,,True,2026-02-28T06:26:33.608853,,2026-02-28T06:26:33.608854
617863653871453405,ITEM-0000084,855133004396303646,333943861408378278,,DISS,Dissolution,DIS,IMP,Impurities,,KQA,5,True,False,True,REPORT_ONLY,2,USP <920>,BOTH,0.168343,0.404287,0.530487,True,2026-02-28T06:26:33.608863,,2026-02-28T06:26:33.608864
221413434339801159,ITEM-0000085,855133004396303646,134880788937698324,,HEAV,Heavy Metals,HEA,IMP,Impurities,,CQA,6,True,True,True,TEXT,0,,STABILITY,0.096891,0.181605,0.978294,True,2026-02-28T06:26:33.608871,,2026-02-28T06:26:33.608871
1077390166277115989,ITEM-0000086,855133004396303646,384896059459405626,,SPEC,Specific Rotation,SPE,PHY,Physical,,REPORT,7,True,True,True,REPORT_ONLY,3,,BOTH,,,,True,2026-02-28T06:26:33.608876,,2026-02-28T06:26:33.608877
887944456963985414,ITEM-0000087,855133004396303646,580913822565612615,,DISI,Disintegration,DIS,MIC,Microbiology,,NCQA,8,True,True,True,REPORT_ONLY,2,,STABILITY,,,,True,2026-02-28T06:26:33.608884,,2026-02-28T06:26:33.608885
109650112622624521,ITEM-0000088,855133004396303646,1120675892318465730,,LOSS,Loss on Drying,LOS,PHY,Physical,,CCQA,9,True,True,False,PASS_FAIL,3,USP <189>,BOTH,,,,True,2026-02-28T06:26:33.608891,,2026-02-28T06:26:33.608892
395480295618092469,ITEM-0000089,855133004396303646,1111772918805642991,,RESI,Residual Solvents,RES,BIO,Biological,,NCQA,10,True,False,True,PASS_FAIL,1,USP <482>,STABILITY,,,,True,2026-02-28T06:26:33.608897,,2026-02-28T06:26:33.608898
853236360417292657,ITEM-0000090,855133004396303646,279096806429715228,,PH,pH,PH,STER,Sterility,,NCQA,11,True,True,True,TEXT,1,,STABILITY,,,,True,2026-02-28T06:26:33.608909,,2026-02-28T06:26:33.608910
964556914277546500,ITEM-0000091,855133004396303646,844954602749148524,,MOIS,Moisture,MOI,CHE,Chemical,,CCQA,12,True,True,False,TEXT,1,,STABILITY,,,,True,2026-02-28T06:26:33.608914,,2026-02-28T06:26:33.608915
41075349161858945,ITEM-0000092,596787263030460665,720633920335121600,,FRIA,Friability,FRI,CHE,Chemical,,CCQA,1,True,False,False,PASS_FAIL,2,USP <684>,BOTH,,,,True,2026-02-28T06:26:33.608926,,2026-02-28T06:26:33.608927
678299867457790887,ITEM-0000093,596787263030460665,384896059459405626,,DISS,Dissolution,DIS,CHE,Chemical,,NCQA,2,True,True,True,PASS_FAIL,2,,RELEASE,,,,True,2026-02-28T06:26:33.608931,,2026-02-28T06:26:33.608932
407520349899233038,ITEM-0000094,596787263030460665,193309893763459855,,HARD,Hardness,HAR,STER,Sterility,,NCQA,3,True,True,True,NUMERIC,3,USP <539>,STABILITY,,,,True,2026-02-28T06:26:33.608940,,2026-02-28T06:26:33.608941
231650815680422090,ITEM-0000095,596787263030460665,933460260883821965,,UNIF,Uniformity of Dosage Units,UNI,STER,Sterility,,REPORT,4,True,False,False,REPORT_ONLY,1,,BOTH,,,,True,2026-02-28T06:26:33.608946,,2026-02-28T06:26:33.608947
774050828415496379,ITEM-0000096,596787263030460665,966202353622455060,,SPEC,Specific Rotation,SPE,IMP,Impurities,,KQA,5,True,True,False,REPORT_ONLY,1,USP <178>,STABILITY,0.095517,0.272377,0.513706,True,2026-02-28T06:26:33.608954,,2026-02-28T06:26:33.608955
248859887114252365,ITEM-0000097,596787263030460665,676722476513467419,,DISI,Disintegration,DIS,IMP,Impurities,,REPORT,6,True,True,True,TEXT,1,,BOTH,0.111271,0.163508,0.745821,True,2026-02-28T06:26:33.608982,,2026-02-28T06:26:33.608984
518828694345360911,ITEM-0000098,596787263030460665,147691127209483186,,PART,Particle Size,PAR,STER,Sterility,,CQA,7,True,True,False,REPORT_ONLY,1,USP <176>,BOTH,,,,True,2026-02-28T06:26:33.608994,,2026-02-28T06:26:33.608995
798934053730893872,ITEM-0000099,596787263030460665,717777285717911934,,IMPU,Impurity A,IMP,PACK,Packaging,,CCQA,8,True,True,True,PASS_FAIL,1,,STABILITY,,,,True,2026-02-28T06:26:33.609007,,2026-02-28T06:26:33.609008
147055192335502707,ITEM-0000100,836833517167594673,778736073370034122,,HARD,Hardness,HAR,STER,Sterility,,NCQA,1,True,False,True,PASS_FAIL,2,USP <272>,BOTH,,,,True,2026-02-28T06:26:33.609021,,2026-02-28T06:26:33.609022
874638150250557042,ITEM-0000101,836833517167594673,782999096285743161,,UNIF,Uniformity of Dosage Units,UNI,MIC,Microbiology,,KQA,2,True,False,False,TEXT,3,USP <185>,RELEASE,,,,True,2026-02-28T06:26:33.609027,,2026-02-28T06:26:33.609028
902873852556051450,ITEM-0000102,836833517167594673,528534298447140744,,WEIG,Weight Variation,WEI,PHY,Physical,,KQA,3,True,True,True,REPORT_ONLY,3,USP <967>,BOTH,,,,True,2026-02-28T06:26:33.609033,,2026-02-28T06:26:33.609034
555453023851842271,ITEM-0000103,836833517167594673,202586567793015981,,DESC,Description,DES,IMP,Impurities,,NCQA,4,True,True,True,PASS_FAIL,2,USP <904>,RELEASE,0.128021,0.270898,0.765821,True,2026-02-28T06:26:33.609041,,2026-02-28T06:26:33.609042
695190342749059456,ITEM-0000104,836833517167594673,979819520307307926,,HEAV,Heavy Metals,HEA,PACK,Packaging,,CQA,5,True,False,False,PASS_FAIL,1,USP <780>,RELEASE,,,,True,2026-02-28T06:26:33.609052,,2026-02-28T06:26:33.609053
1116276935630907057,ITEM-0000105,836833517167594673,816617919109361039,,MICR,Microbial Limits,MIC,CHE,Chemical,,REPORT,6,False,True,True,TEXT,3,,STABILITY,,,,True,2026-02-28T06:26:33.609058,,2026-02-28T06:26:33.609059
14581527021855446,ITEM-0000106,836833517167594673,391985904213668330,,DISI,Disintegration,DIS,PHY,Physical,,CCQA,7,True,True,False,REPORT_ONLY,1,USP <462>,BOTH,,,,True,2026-02-28T06:26:33.609067,,2026-02-28T06:26:33.609068
