instrument_key,instrument_id,instrument_name,instrument_type,serial_number,manufacturer,qualification_status,calibration_due_date,location,is_active,load_timestamp
390534893145308379,INST-00027,Malvern PSD 4408,PSD,SN-691662,Malvern,QUALIFIED,2027-03-07,"Lab 1, Room 192",True,2026-02-28T06:26:33.799908
848740789282723392,INST-00028,Thermo Fisher BALANCE 8290,BALANCE,SN-411954,Thermo Fisher,QUALIFIED,2026-03-14,"Lab 2, Room 372",True,2026-02-28T06:26:33.799914
693167987999598548,INST-00029,Malvern BALANCE 1001,BALANCE,SN-559154,Malvern,QUALIFIED,2026-12-05,"Lab 4, Room 138",True,2026-02-28T06:26:33.799920
81694315219520457,INST-00030,Sotax UV_VIS 3660,UV_VIS,SN-981409,Sotax,PENDING_PQ,2026-12-29,"Lab 3, Room 419",True,2026-02-28T06:26:33.799928
765286411489240564,INST-00031,Thermo Fisher PH_METER 8404,PH_METER,SN-330405,Thermo Fisher,QUALIFIED,2026-10-21,"Lab 10, Room 102",True,2026-02-28T06:26:33.799935
1031062329359778316,INST-00032,Malvern PSD 2655,PSD,SN-250807,Malvern,PENDING_OQ,2026-02-04,"Lab 2, Room 302",True,2026-02-28T06:26:33.799940
1001984640689007112,INST-00033,Thermo Fisher PH_METER 8760,PH_METER,SN-268748,Thermo Fisher,PENDING_PQ,2026-05-25,"Lab 8, Room 455",True,2026-02-28T06:26:33.799949
1144051194702135849,INST-00034,Waters UV_VIS 2983,UV_VIS,SN-922116,Waters,PENDING_PQ,2026-03-16,"Lab 5, Room 491",True,2026-02-28T06:26:33.799955
803505353180445000,INST-00035,Sotax HPLC 7624,HPLC,SN-666868,Sotax,PENDING_OQ,2026-04-12,"Lab 15, Room 141",True,2026-02-28T06:26:33.799971
1299790840030095,INST-00036,Waters BALANCE 7827,BALANCE,SN-396183,Waters,QUALIFIED,2027-06-02,"Lab 2, Room 480",True,2026-02-28T06:26:33.799980
36139620970997605,INST-00037,Mettler Toledo DISSOLUTION 6174,DISSOLUTION,SN-525332,Mettler Toledo,PENDING_OQ,2025-05-31,"Lab 9, Room 158",True,2026-02-28T06:26:33.799986
672893743872995076,INST-00038,Shimadzu DISSOLUTION 9229,DISSOLUTION,SN-790771,Shimadzu,PENDING_PQ,2025-08-09,"Lab 20, Room 361",True,2026-02-28T06:26:33.799992
822399338269142031,INST-00039,Malvern PH_METER 3644,PH_METER,SN-833969,Malvern,PENDING_OQ,2026-01-05,"Lab 16, Room 487",True,2026-02-28T06:26:33.799997
107877277762732753,INST-00040,Agilent UV_VIS 4465,UV_VIS,SN-185280,Agilent,PENDING_OQ,2025-09-18,"Lab 19, Room 199",True,2026-02-28T06:26:33.800003
730086944957043632,INST-00041,Agilent GC 7167,GC,SN-193086,Agilent,QUALIFIED,2027-02-19,"Lab 18, Room 140",True,2026-02-28T06:26:33.800008
172367136460279770,INST-00042,Sotax DISSOLUTION 7916,DISSOLUTION,SN-611048,Sotax,QUALIFIED,2027-10-02,"Lab 15, Room 193",True,2026-02-28T06:26:33.800014
538330524297671292,INST-00043,PerkinElmer PH_METER 4993,PH_METER,SN-731625,PerkinElmer,PENDING_PQ,2027-01-15,"Lab 17, Room 180",True,2026-02-28T06:26:33.800022
489928342342284914,INST-00044,Malvern IR 6033,IR,SN-148710,Malvern,PENDING_OQ,2027-04-04,"Lab 20, Room 334",True,2026-02-28T06:26:33.800028
900055063235718649,INST-00045,Sotax UV_VIS 3840,UV_VIS,SN-618013,Sotax,PENDING_PQ,2026-11-21,"Lab 17, Room 104",True,2026-02-28T06:26:33.800033
146891906937770075,INST-00046,PerkinElmer IR 9340,IR,SN-230189,PerkinElmer,QUALIFIED,2027-09-01,"Lab 13, Room 104",True,2026-02-28T06:26:33.800039
402689070141772683,INST-00047,Bruker HPLC 6638,HPLC,SN-176890,Bruker,PENDING_PQ,2027-08-08,"Lab 10, Room 143",True,2026-02-28T06:26:33.800045
660125997139416516,INST-00048,Thermo Fisher GC 3928,GC,SN-677091,Thermo Fisher,QUALIFIED,2026-04-22,"Lab 3, Room 419",True,2026-02-28T06:26:33.800050
867558051779183738,INST-00049,Thermo Fisher UV_VIS 8119,UV_VIS,SN-477877,Thermo Fisher,PENDING_OQ,2025-12-04,"Lab 16, Room 395",True,2026-02-28T06:26:33.800055
444048743521992087,INST-00050,Malvern KF 2355,KF,SN-425911,Malvern,QUALIFIED,2025-04-23,"Lab 4, Room 279",True,2026-02-28T06:26:33.800063
623539852617141082,INST-00051,Sotax PH_METER 4128,PH_METER,SN-471732,Sotax,PENDING_PQ,2027-08-22,"Lab 15, Room 228",True,2026-02-28T06:26:33.800071
934969413860251355,INST-00052,Thermo Fisher UV_VIS 9509,UV_VIS,SN-571892,Thermo Fisher,PENDING_PQ,2025-06-21,"Lab 11, Room 444",True,2026-02-28T06:26:33.800077
510247147510133801,INST-00053,PerkinElmer IR 2063,IR,SN-253947,PerkinElmer,QUALIFIED,2025-12-10,"Lab 11, Room 120",True,2026-02-28T06:26:33.800085
367229304162558312,INST-00054,Thermo Fisher BALANCE 7890,BALANCE,SN-548185,Thermo Fisher,PENDING_PQ,2027-12-01,"Lab 1, Room 189",True,2026-02-28T06:26:33.800091
502683171573151651,INST-00055,Mettler Toledo PH_METER 9217,PH_METER,SN-325368,Mettler Toledo,QUALIFIED,2025-04-29,"Lab 17, Room 142",True,2026-02-28T06:26:33.800096
29481550603822841,INST-00056,Thermo Fisher PH_METER 9062,PH_METER,SN-396395,Thermo Fisher,QUALIFIED,2025-04-30,"Lab 18, Room 148",True,2026-02-28T06:26:33.800102
1079246719981417695,INST-00057,Shimadzu BALANCE 2086,BALANCE,SN-573963,Shimadzu,QUALIFIED,2027-06-22,"Lab 9, Room 211",True,2026-02-28T06:26:33.800108
378307420314741140,INST-00058,Mettler Toledo KF 3241,KF,SN-262433,Mettler Toledo,PENDING_OQ,2027-09-21,"Lab 1, Room 260",True,2026-02-28T06:26:33.800113
307170017429654905,INST-00059,PerkinElmer BALANCE 9450,BALANCE,SN-478715,PerkinElmer,PENDING_OQ,2025-08-06,"Lab 18, Room 154",True,2026-02-28T06:26:33.800119
363782724842215289,INST-00060,Shimadzu HPLC 6950,HPLC,SN-411578,Shimadzu,PENDING_OQ,2025-01-02,"Lab 4, Room 292",True,2026-02-28T06:26:33.800124
822185370234943974,INST-00061,Thermo Fisher BALANCE 8716,BALANCE,SN-385057,Thermo Fisher,PENDING_OQ,2025-03-22,"Lab 15, Room 383",True,2026-02-28T06:26:33.800129
938290396698037692,INST-00062,Sotax PH_METER 5743,PH_METER,SN-397684,Sotax,PENDING_PQ,2025-10-31,"Lab 9, Room 181",True,2026-02-28T06:26:33.800135
362885782034840723,INST-00063,Malvern DISSOLUTION 7033,DISSOLUTION,SN-926165,Malvern,QUALIFIED,2026-07-31,"Lab 7, Room 332",True,2026-02-28T06:26:33.800145
895093588640933874,INST-00064,Malvern PSD 9607,PSD,SN-581130,Malvern,PENDING_OQ,2025-10-12,"Lab 11, Room 495",True,2026-02-28T06:26:33.800153
834048346627099133,INST-00065,Waters KF 6522,KF,SN-176530,Waters,QUALIFIED,2027-02-23,"Lab 14, Room 135",True,2026-02-28T06:26:33.800160
83815673221225728,INST-00066,Bruker GC 9981,GC,SN-352142,Bruker,PENDING_PQ,2027-12-15,"Lab 15, Room 425",True,2026-02-28T06:26:33.800166
655302902830188931,INST-00067,Thermo Fisher PSD 8839,PSD,SN-220793,Thermo Fisher,PENDING_PQ,2026-01-05,"Lab 14, Room 433",True,2026-02-28T06:26:33.800171
287767515175431352,INST-00068,Agilent KF 7727,KF,SN-416747,Agilent,PENDING_PQ,2025-12-04,"Lab 15, Room 272",True,2026-02-28T06:26:33.800176
816430327792667600,INST-00069,Sotax KF 5385,KF,SN-157612,Sotax,PENDING_PQ,2026-06-08,"Lab 9, Room 491",True,2026-02-28T06:26:33.800182
202327060040241655,INST-00070,Shimadzu IR 1629,IR,SN-664501,Shimadzu,QUALIFIED,2026-08-12,"Lab 14, Room 199",True,2026-02-28T06:26:33.800187
1038350052822994978,INST-00071,Shimadzu IR 9553,IR,SN-840497,Shimadzu,PENDING_PQ,2026-06-18,"Lab 19, Room 101",True,2026-02-28T06:26:33.800195
1006350049343708207,INST-00072,Malvern GC 1499,GC,SN-162911,Malvern,PENDING_PQ,2027-04-28,"Lab 4, Room 426",True,2026-02-28T06:26:33.800201
146478496022610984,INST-00073,Bruker UV_VIS 6025,UV_VIS,SN-368466,Bruker,PENDING_OQ,2025-01-08,"Lab 8, Room 338",True,2026-02-28T06:26:33.800209
912037227873929411,INST-00074,Thermo Fisher PSD 6285,PSD,SN-994260,Thermo Fisher,PENDING_OQ,2026-03-30,"Lab 5, Room 372",True,2026-02-28T06:26:33.800214
413836582699464511,INST-00075,Agilent PH_METER 2404,PH_METER,SN-777432,Agilent,PENDING_OQ,2027-08-16,"Lab 19, Room 231",True,2026-02-28T06:26:33.800220
683951650146633570,INST-00076,Shimadzu DISSOLUTION 7046,DISSOLUTION,SN-956991,Shimadzu,PENDING_PQ,2025-01-03,"Lab 7, Room 354",True,2026-02-28T06:26:33.800225
221248636195831895,INST-00077,Agilent PSD 4970,PSD,SN-929512,Agilent,QUALIFIED,2027-09-17,"Lab 12, Room 450",True,2026-02-28T06:26:33.800230
465400532123046664,INST-00078,PerkinElmer PSD 7556,PSD,SN-919857,PerkinElmer,QUALIFIED,2027-07-31,"Lab 4, Room 218",True,2026-02-28T06:26:33.800239
269244455816634264,INST-00079,Mettler Toledo HPLC 5562,HPLC,SN-510889,Mettler Toledo,PENDING_OQ,2027-08-01,"Lab 5, Room 184",True,2026-02-28T06:26:33.800245
65896148289646335,INST-00080,Malvern HPLC 5974,HPLC,SN-404880,Malvern,PENDING_OQ,2026-01-23,"Lab 9, Room 249",True,2026-02-28T06:26:33.800251
738527548180796756,INST-00081,Agilent BALANCE 1578,BALANCE,SN-257437,Agilent,QUALIFIED,2027-06-27,"Lab 14, Room 368",True,2026-02-28T06:26:33.800256
876234242331348102,INST-00082,Agilent PH_METER 3564,PH_METER,SN-621174,Agilent,PENDING_OQ,2027-09-27,"Lab 14, Room 113",True,2026-02-28T06:26:33.800261
264871792628981657,INST-00083,Shimadzu IR 4685,IR,SN-371272,Shimadzu,PENDING_PQ,2025-04-10,"Lab 5, Room 251",True,2026-02-28T06:26:33.800270
1046698661193702521,INST-00084,PerkinElmer DISSOLUTION 7723,DISSOLUTION,SN-906848,PerkinElmer,QUALIFIED,2025-05-28,"Lab 4, Room 100",True,2026-02-28T06:26:33.800275
709123470536089766,INST-00085,Shimadzu UV_VIS 5550,UV_VIS,SN-490962,Shimadzu,PENDING_OQ,2025-06-07,"Lab 2, Room 330",True,2026-02-28T06:26:33.800283
1076690491605651946,INST-00086,Thermo Fisher IR 8985,IR,SN-902285,Thermo Fisher,PENDING_OQ,2025-04-14,"Lab 11, Room 243",True,2026-02-28T06:26:33.800289
510090432495926977,INST-00087,Mettler Toledo HPLC 3527,HPLC,SN-683668,Mettler Toledo,QUALIFIED,2025-07-25,"Lab 9, Room 151",True,2026-02-28T06:26:33.800295
486605433498388969,INST-00088,PerkinElmer IR 3050,IR,SN-992267,PerkinElmer,QUALIFIED,2027-10-28,"Lab 18, Room 497",True,2026-02-28T06:26:33.800300
661930936874270665,INST-00089,Bruker KF 2388,KF,SN-243885,Bruker,QUALIFIED,2026-12-08,"Lab 7, Room 110",True,2026-02-28T06:26:33.800306
210984937810578119,INST-00090,Waters HPLC 4755,HPLC,SN-445026,Waters,PENDING_OQ,2026-06-23,"Lab 2, Room 418",True,2026-02-28T06:26:33.800311
972767930345071295,INST-00091,Waters DISSOLUTION 4516,DISSOLUTION,SN-477382,Waters,QUALIFIED,2027-01-22,"Lab 15, Room 411",True,2026-02-28T06:26:33.800319
376027770734663113,INST-00092,Shimadzu KF 2522,KF,SN-102210,Shimadzu,QUALIFIED,2027-05-27,"Lab 10, Room 208",True,2026-02-28T06:26:33.800325
530484494748210754,INST-00093,Bruker UV_VIS 9085,UV_VIS,SN-715211,Bruker,PENDING_OQ,2026-08-19,"Lab 4, Room 181",True,2026-02-28T06:26:33.800333
184168226999019208,INST-00094,Agilent UV_VIS 5729,UV_VIS,SN-830918,Agilent,PENDING_PQ,2026-10-08,"Lab 7, Room 431",True,2026-02-28T06:26:33.800342
381381034162140329,INST-00095,Shimadzu UV_VIS 4868,UV_VIS,SN-384269,Shimadzu,PENDING_PQ,2025-02-04,"Lab 15, Room 235",True,2026-02-28T06:26:33.800347
524142135717562420,INST-00096,Thermo Fisher UV_VIS 5355,UV_VIS,SN-358828,Thermo Fisher,PENDING_OQ,2025-01-07,"Lab 9, Room 495",True,2026-02-28T06:26:33.800353
822300347541338976,INST-00097,Shimadzu PH_METER 5372,PH_METER,SN-579268,Shimadzu,PENDING_PQ,2025-05-03,"Lab 12, Room 358",True,2026-02-28T06:26:33.800358
1018747602487637190,INST-00098,Waters DISSOLUTION 8486,DISSOLUTION,SN-490648,Waters,PENDING_PQ,2027-07-30,"Lab 15, Room 357",True,2026-02-28T06:26:33.800364
941360445415563008,INST-00099,Agilent HPLC 3780,HPLC,SN-106927,Agilent,PENDING_PQ,2026-10-01,"Lab 13, Room 446",True,2026-02-28T06:26:33.800369
111195557117791811,INST-00100,PerkinElmer PSD 8980,PSD,SN-803302,PerkinElmer,PENDING_PQ,2025-12-13,"Lab 12, Room 105",True,2026-02-28T06:26:33.800375
702225008479479079,INST-00101,Bruker PSD 7060,PSD,SN-420591,Bruker,PENDING_OQ,2026-09-08,"Lab 9, Room 484",True,2026-02-28T06:26:33.800380
868489251597635349,INST-00102,Mettler Toledo PH_METER 2224,PH_METER,SN-719325,Mettler Toledo,PENDING_OQ,2025-01-12,"Lab 3, Room 164",True,2026-02-28T06:26:33.800386
302855197883777664,INST-00103,Agilent PSD 2736,PSD,SN-152982,Agilent,PENDING_OQ,2026-08-25,"Lab 10, Room 327",True,2026-02-28T06:26:33.800395
1082255727698487669,INST-00104,Agilent KF 5662,KF,SN-189910,Agilent,PENDING_OQ,2025-03-22,"Lab 3, Room 278",True,2026-02-28T06:26:33.800401
186083362621252119,INST-00105,Thermo Fisher GC 5037,GC,SN-725233,Thermo Fisher,QUALIFIED,2025-06-26,"Lab 15, Room 377",True,2026-02-28T06:26:33.800408
928429394116001558,INST-00106,Thermo Fisher DISSOLUTION 1187,DISSOLUTION,SN-833317,Thermo Fisher,PENDING_OQ,2025-06-10,"Lab 7, Room 200",True,2026-02-28T06:26:33.800414
380537356627309188,INST-00107,Waters BALANCE 1215,BALANCE,SN-713860,Waters,QUALIFIED,2027-07-23,"Lab 13, Room 248",True,2026-02-28T06:26:33.800420
155216613866982187,INST-00108,Waters IR 3517,IR,SN-785083,Waters,PENDING_OQ,2026-04-20,"Lab 1, Room 469",True,2026-02-28T06:26:33.800425
23773922416668408,INST-00109,PerkinElmer DISSOLUTION 7888,DISSOLUTION,SN-444241,PerkinElmer,PENDING_PQ,2025-03-06,"Lab 8, Room 380",True,2026-02-28T06:26:33.800432
993873648861062421,INST-00110,Malvern BALANCE 6509,BALANCE,SN-648648,Malvern,PENDING_OQ,2025-04-04,"Lab 6, Room 324",True,2026-02-28T06:26:33.800438
369860393238688740,INST-00111,Bruker KF 8798,KF,SN-507162,Bruker,QUALIFIED,2025-12-25,"Lab 20, Room 390",True,2026-02-28T06:26:33.800444
1074554085140319353,INST-00112,Shimadzu GC 9780,GC,SN-828717,Shimadzu,PENDING_OQ,2025-03-17,"Lab 11, Room 287",True,2026-02-28T06:26:33.800450
1145765897028297536,INST-00113,Agilent DISSOLUTION 7215,DISSOLUTION,SN-769046,Agilent,QUALIFIED,2027-12-29,"Lab 8, Room 260",True,2026-02-28T06:26:33.800459
34177729581614201,INST-00114,Agilent KF 5948,KF,SN-131319,Agilent,PENDING_PQ,2027-09-19,"Lab 16, Room 439",True,2026-02-28T06:26:33.800464
448431456711342585,INST-00115,Thermo Fisher PH_METER 4616,PH_METER,SN-309713,Thermo Fisher,QUALIFIED,2027-03-07,"Lab 17, Room 144",True,2026-02-28T06:26:33.800469
856309367207074320,INST-00116,Sotax GC 7442,GC,SN-530680,Sotax,QUALIFIED,2027-02-08,"Lab 5, Room 480",True,2026-02-28T06:26:33.800476
881505259980021779,INST-00117,Agilent IR 5494,IR,SN-506114,Agilent,QUALIFIED,2026-10-09,"Lab 12, Room 328",True,2026-02-28T06:26:33.800485
1094305241893671650,INST-00118,Malvern KF 8816,KF,SN-884744,Malvern,QUALIFIED,2025-02-18,"Lab 14, Room 316",True,2026-02-28T06:26:33.800492
290368748341529570,INST-00119,Thermo Fisher BALANCE 7218,BALANCE,SN-178797,Thermo Fisher,PENDING_OQ,2025-07-21,"Lab 12, Room 375",True,2026-02-28T06:26:33.800498
552188576784205084,INST-00120,Malvern HPLC 5059,HPLC,SN-300619,Malvern,PENDING_OQ,2025-04-20,"Lab 3, Room 267",True,2026-02-28T06:26:33.800504
689451972711770224,INST-00121,Sotax PSD 5934,PSD,SN-983182,Sotax,QUALIFIED,2025-05-06,"Lab 12, Room 335",True,2026-02-28T06:26:33.800509
38950676270334893,INST-00122,Sotax HPLC 3377,HPLC,SN-858624,Sotax,QUALIFIED,2026-08-25,"Lab 17, Room 233",True,2026-02-28T06:26:33.800515
136113755525415960,INST-00123,Waters IR 9645,IR,SN-686765,Waters,PENDING_OQ,2027-06-29,"Lab 11, Room 496",True,2026-02-28T06:26:33.800523
1076719086950461501,INST-00124,Malvern UV_VIS 5917,UV_VIS,SN-627442,Malvern,QUALIFIED,2027-05-23,"Lab 17, Room 278",True,2026-02-28T06:26:33.800529
563142456028201139,INST-00125,Bruker GC 4443,GC,SN-116886,Bruker,PENDING_PQ,2026-02-26,"Lab 15, Room 415",True,2026-02-28T06:26:33.800535
300154883354576459,INST-00126,PerkinElmer DISSOLUTION 4835,DISSOLUTION,SN-377752,PerkinElmer,PENDING_OQ,2027-08-05,"Lab 10, Room 108",True,2026-02-28T06:26:33.800540
911654029949115097,INST-00127,Sotax BALANCE 6227,BALANCE,SN-689672,Sotax,PENDING_PQ,2027-02-19,"Lab 6, Room 163",True,2026-02-28T06:26:33.800546
978817789884202280,INST-00128,Shimadzu PH_METER 8556,PH_METER,SN-553624,Shimadzu,QUALIFIED,2027-08-02,"Lab 20, Room 403",True,2026-02-28T06:26:33.800552
755889611331689118,INST-00129,Sotax DISSOLUTION 5805,DISSOLUTION,SN-619290,Sotax,PENDING_PQ,2027-03-21,"Lab 11, Room 461",True,2026-02-28T06:26:33.800558
977756632380775473,INST-00130,Bruker HPLC 3911,HPLC,SN-567061,Bruker,PENDING_OQ,2027-01-18,"Lab 3, Room 250",True,2026-02-28T06:26:33.800563
778756634688936730,INST-00131,Waters PSD 7244,PSD,SN-253742,Waters,PENDING_PQ,2027-09-09,"Lab 10, Room 400",True,2026-02-28T06:26:33.800569
676316285080243121,INST-00132,Sotax UV_VIS 1893,UV_VIS,SN-956555,Sotax,QUALIFIED,2027-01-10,"Lab 2, Room 159",True,2026-02-28T06:26:33.800577
988823808597594657,INST-00133,Thermo Fisher HPLC 6070,HPLC,SN-908899,Thermo Fisher,QUALIFIED,2026-03-09,"Lab 20, Room 167",True,2026-02-28T06:26:33.800586
761974492363705509,INST-00134,Malvern BALANCE 3276,BALANCE,SN-692740,Malvern,QUALIFIED,2027-04-11,"Lab 4, Room 387",True,2026-02-28T06:26:33.800591
652342881207667620,INST-00135,Waters BALANCE 1692,BALANCE,SN-632260,Waters,PENDING_OQ,2025-01-06,"Lab 11, Room 332",True,2026-02-28T06:26:33.800597
1113278799639164187,INST-00136,Bruker KF 8648,KF,SN-463222,Bruker,PENDING_OQ,2026-03-09,"Lab 18, Room 295",True,2026-02-28T06:26:33.800603
437847298966193501,INST-00137,PerkinElmer KF 1505,KF,SN-648458,PerkinElmer,PENDING_OQ,2027-05-29,"Lab 15, Room 108",True,2026-02-28T06:26:33.800608
722592135889382395,INST-00138,Bruker KF 3068,KF,SN-393322,Bruker,PENDING_PQ,2025-10-06,"Lab 3, Room 119",True,2026-02-28T06:26:33.800616
655533103517784539,INST-00139,Shimadzu IR 1934,IR,SN-157208,Shimadzu,PENDING_PQ,2025-12-09,"Lab 10, Room 246",True,2026-02-28T06:26:33.800621
1007830646411728913,INST-00140,Bruker PSD 5051,PSD,SN-998834,Bruker,PENDING_PQ,2026-10-22,"Lab 11, Room 460",True,2026-02-28T06:26:33.800627
152754270467019236,INST-00141,Mettler Toledo GC 8002,GC,SN-648074,Mettler Toledo,PENDING_PQ,2026-07-02,"Lab 16, Room 276",True,2026-02-28T06:26:33.800632
428195301420802911,INST-00142,PerkinElmer UV_VIS 4645,UV_VIS,SN-270252,PerkinElmer,PENDING_PQ,2026-05-28,"Lab 3, Room 270",True,2026-02-28T06:26:33.800637
848624452917421861,INST-00143,Shimadzu IR 5086,IR,SN-217839,Shimadzu,PENDING_PQ,2026-03-06,"Lab 17, Room 131",True,2026-02-28T06:26:33.800646
508360650810715438,INST-00144,Mettler Toledo UV_VIS 7810,UV_VIS,SN-657698,Mettler Toledo,QUALIFIED,2027-08-09,"Lab 10, Room 475",True,2026-02-28T06:26:33.800651
783765808015824251,INST-00145,Waters PSD 4382,PSD,SN-285190,Waters,QUALIFIED,2025-07-25,"Lab 12, Room 483",True,2026-02-28T06:26:33.800657
248167225332866648,INST-00146,Shimadzu DISSOLUTION 5791,DISSOLUTION,SN-658632,Shimadzu,QUALIFIED,2025-05-24,"Lab 7, Room 400",True,2026-02-28T06:26:33.800665
585723485840219307,INST-00147,Malvern PSD 2806,PSD,SN-562429,Malvern,QUALIFIED,2025-01-20,"Lab 11, Room 463",True,2026-02-28T06:26:33.800671
391752196388301037,INST-00148,PerkinElmer HPLC 1373,HPLC,SN-161065,PerkinElmer,PENDING_PQ,2025-03-05,"Lab 4, Room 393",True,2026-02-28T06:26:33.800677
744740670286316014,INST-00149,Sotax PH_METER 1298,PH_METER,SN-334386,Sotax,PENDING_OQ,2025-07-05,"Lab 1, Room 236",True,2026-02-28T06:26:33.800682
846658377778017277,INST-00150,Waters KF 9532,KF,SN-451383,Waters,PENDING_OQ,2027-12-27,"Lab 9, Room 375",True,2026-02-28T06:26:33.800688
898372587415358757,INST-00151,Shimadzu BALANCE 7117,BALANCE,SN-673320,Shimadzu,PENDING_PQ,2025-08-10,"Lab 8, Room 436",True,2026-02-28T06:26:33.800694
356697493375253326,INST-00152,Malvern BALANCE 2846,BALANCE,SN-752413,Malvern,PENDING_OQ,2027-06-21,"Lab 15, Room 488",True,2026-02-28T06:26:33.800699
584551463358581762,INST-00153,Malvern BALANCE 2047,BALANCE,SN-241680,Malvern,QUALIFIED,2027-07-14,"Lab 16, Room 319",True,2026-02-28T06:26:33.800707
147525606758163344,INST-00154,Sotax DISSOLUTION 8489,DISSOLUTION,SN-768868,Sotax,QUALIFIED,2027-09-15,"Lab 16, Room 348",True,2026-02-28T06:26:33.800713
