material_key,material_id,material_name,material_type_code,material_type_name,cas_number,molecular_formula,molecular_weight,inn_name,compendial_name,pharmacopoeia_grade,grade,supplier_name,retest_period_months,storage_requirements,is_active,load_timestamp
438874628120364923,MAT-00020,Material-00020,REFERENCE_STD,Reference Standard,354911-90-0,,,,Material-00020,USP,pharmaceutical,Shin-Etsu,24,Store in dry place,True,2026-02-28T06:26:33.563060
462413840837517333,MAT-00021,Material-00021,REFERENCE_STD,Reference Standard,829962-23-2,,,,Material-00021,NF,pharmaceutical,Colorcon,36,Protect from light,True,2026-02-28T06:26:33.563066
270505022805110468,MAT-00022,Material-00022,RAW_MATERIAL,Raw Material,793504-54-7,,,,Material-00022,IN_HOUSE,pharmaceutical,Colorcon,12,Store in dry place,True,2026-02-28T06:26:33.563070
601331080128388753,MAT-00023,Material-00023,PACKAGING,Packaging Material,375615-27-4,,,,Material-00023,USP,pharmaceutical,Roquette,48,Protect from light,True,2026-02-28T06:26:33.563075
1100268856078342187,MAT-00024,Material-00024,INTERMEDIATE,Intermediate,569147-99-7,,,,Material-00024,EP,pharmaceutical,Croda,24,Protect from light,True,2026-02-28T06:26:33.563080
1145380276456388540,MAT-00025,Material-00025,INTERMEDIATE,Intermediate,339453-69-4,,,,Material-00025,ACS,pharmaceutical,MSN Labs,60,Store below 30C,True,2026-02-28T06:26:33.563084
93323292423065118,MAT-00026,Apixaban,API,Active Pharmaceutical Ingredient,162605-67-4,P25F21O17C13,907.0235,Apixaban,Apixaban,USP,pharmaceutical,Croda,36,Protect from light,True,2026-02-28T06:26:33.563106
628432485627314884,MAT-00027,Material-00027,EXCIPIENT,Excipient,336322-18-8,,,,Material-00027,NF,pharmaceutical,Colorcon,60,Store in dry place,True,2026-02-28T06:26:33.563112
779632295106073518,MAT-00028,Material-00028,PACKAGING,Packaging Material,802980-80-2,,,,Material-00028,ACS,pharmaceutical,Ashland,36,Store at -20C,True,2026-02-28T06:26:33.563116
59051940425008534,MAT-00029,Material-00029,RAW_MATERIAL,Raw Material,337716-24-1,,,,Material-00029,ACS,pharmaceutical,Merck KGaA,12,Store below 25C,True,2026-02-28T06:26:33.563121
951296817750547766,MAT-00030,Material-00030,EXCIPIENT,Excipient,187366-14-3,,,,Material-00030,USP,pharmaceutical,Roquette,24,Store below 25C,True,2026-02-28T06:26:33.563128
760790029772221906,MAT-00031,Nivolumab,API,Active Pharmaceutical Ingredient,672975-59-7,C23F3HS30,1113.1387,Nivolumab,Nivolumab,IN_HOUSE,pharmaceutical,Roquette,12,Store at -20C,True,2026-02-28T06:26:33.563139
193712716570772715,MAT-00032,Material-00032,RAW_MATERIAL,Raw Material,63698-56-8,,,,Material-00032,IN_HOUSE,pharmaceutical,MSN Labs,48,Store at 2-8C,True,2026-02-28T06:26:33.563145
609751519125739462,MAT-00033,Material-00033,RAW_MATERIAL,Raw Material,61182-88-4,,,,Material-00033,ACS,pharmaceutical,Sigma-Aldrich,12,Store at 2-8C,True,2026-02-28T06:26:33.563150
418917506767789531,MAT-00034,Hydrochlorothiazide,API,Active Pharmaceutical Ingredient,544769-22-1,P7Cl17H22,373.6393,Hydrochlorothiazide,Hydrochlorothiazide,IN_HOUSE,pharmaceutical,Evonik,60,Store in dry place,True,2026-02-28T06:26:33.563160
471239066724055410,MAT-00035,Material-00035,REFERENCE_STD,Reference Standard,435402-23-9,,,,Material-00035,JP,pharmaceutical,Merck KGaA,48,Store in dry place,True,2026-02-28T06:26:33.563165
530799617470491005,MAT-00036,Material-00036,RAW_MATERIAL,Raw Material,447870-23-2,,,,Material-00036,EP,pharmaceutical,Gattefosse,48,Protect from light,True,2026-02-28T06:26:33.563170
413533712280377692,MAT-00037,Material-00037,INTERMEDIATE,Intermediate,689522-30-8,,,,Material-00037,ACS,pharmaceutical,Roquette,36,Store at 2-8C,True,2026-02-28T06:26:33.563175
567939578260586103,MAT-00038,Material-00038,REFERENCE_STD,Reference Standard,340474-57-6,,,,Material-00038,IN_HOUSE,pharmaceutical,DFE Pharma,36,Protect from light,True,2026-02-28T06:26:33.563180
258685705538326624,MAT-00039,Material-00039,EXCIPIENT,Excipient,590550-79-3,,,,Material-00039,NF,pharmaceutical,Dr. Reddy's,60,Store in dry place,True,2026-02-28T06:26:33.563184
72722746746452497,MAT-00040,Material-00040,INTERMEDIATE,Intermediate,377546-67-7,,,,Material-00040,NF,pharmaceutical,Sigma-Aldrich,12,Store at 2-8C,True,2026-02-28T06:26:33.563192
183859039246354278,MAT-00041,Material-00041,REFERENCE_STD,Reference Standard,17144-76-2,,,,Material-00041,JP,pharmaceutical,Sigma-Aldrich,36,Store below 30C,True,2026-02-28T06:26:33.563199
926504500658185582,MAT-00042,Material-00042,EXCIPIENT,Excipient,897337-50-0,,,,Material-00042,IN_HOUSE,pharmaceutical,Aurobindo,36,Protect from light,True,2026-02-28T06:26:33.563204
816296001529296019,MAT-00043,Material-00043,REFERENCE_STD,Reference Standard,583397-83-9,,,,Material-00043,EP,pharmaceutical,BASF,12,Store at -20C,True,2026-02-28T06:26:33.563209
1118520283251615679,MAT-00044,Material-00044,INTERMEDIATE,Intermediate,163740-27-4,,,,Material-00044,JP,pharmaceutical,MSN Labs,60,Store below 30C,True,2026-02-28T06:26:33.563214
438313672790262856,MAT-00045,Material-00045,EXCIPIENT,Excipient,268741-48-1,,,,Material-00045,ACS,pharmaceutical,DFE Pharma,60,Store below 30C,True,2026-02-28T06:26:33.563218
932051110179330332,MAT-00046,Material-00046,RAW_MATERIAL,Raw Material,81001-51-7,,,,Material-00046,EP,pharmaceutical,Roquette,60,Store below 25C,True,2026-02-28T06:26:33.563223
229096770990592905,MAT-00047,Material-00047,REFERENCE_STD,Reference Standard,673502-48-0,,,,Material-00047,IN_HOUSE,pharmaceutical,Dr. Reddy's,60,Store at -20C,True,2026-02-28T06:26:33.563228
298511041503674542,MAT-00048,Alogliptin,API,Active Pharmaceutical Ingredient,58689-52-5,Cl30HP21Br25S21,520.7357,Alogliptin,Alogliptin,JP,pharmaceutical,Gattefosse,12,Store at 2-8C,True,2026-02-28T06:26:33.563239
833490942777949896,MAT-00049,Material-00049,REFERENCE_STD,Reference Standard,592404-29-5,,,,Material-00049,ACS,pharmaceutical,Teva API,24,Store below 30C,True,2026-02-28T06:26:33.563257
834253434250766383,MAT-00050,Semaglutide,API,Active Pharmaceutical Ingredient,767165-60-7,O10Cl26,533.7546,Semaglutide,Semaglutide,EP,pharmaceutical,Shin-Etsu,12,Store at -20C,True,2026-02-28T06:26:33.563274
111846877072554600,MAT-00051,Material-00051,REFERENCE_STD,Reference Standard,781569-16-8,,,,Material-00051,NF,pharmaceutical,Ashland,12,Store at -20C,True,2026-02-28T06:26:33.563280
790971744903546987,MAT-00052,Material-00052,REFERENCE_STD,Reference Standard,455646-99-2,,,,Material-00052,EP,pharmaceutical,Roquette,60,Store below 30C,True,2026-02-28T06:26:33.563286
20173574415090879,MAT-00053,Material-00053,PACKAGING,Packaging Material,414571-93-9,,,,Material-00053,EP,pharmaceutical,Gattefosse,60,Store in dry place,True,2026-02-28T06:26:33.563291
1016303058813999378,MAT-00054,Material-00054,REFERENCE_STD,Reference Standard,258257-41-1,,,,Material-00054,JP,pharmaceutical,Dr. Reddy's,48,Store at 2-8C,True,2026-02-28T06:26:33.563296
1085096323570603069,MAT-00055,Material-00055,RAW_MATERIAL,Raw Material,969079-83-1,,,,Material-00055,USP,pharmaceutical,Merck KGaA,48,Store at -20C,True,2026-02-28T06:26:33.563302
657966852170145469,MAT-00056,Material-00056,INTERMEDIATE,Intermediate,365277-34-5,,,,Material-00056,JP,pharmaceutical,Croda,12,Store at 2-8C,True,2026-02-28T06:26:33.563306
501422847778514715,MAT-00057,Material-00057,EXCIPIENT,Excipient,366754-88-7,,,,Material-00057,ACS,pharmaceutical,Evonik,48,Store below 25C,True,2026-02-28T06:26:33.563314
1048965702182130969,MAT-00058,Material-00058,EXCIPIENT,Excipient,209435-97-5,,,,Material-00058,EP,pharmaceutical,Dr. Reddy's,12,Store below 25C,True,2026-02-28T06:26:33.563319
976610658673712187,MAT-00059,Material-00059,RAW_MATERIAL,Raw Material,57237-41-9,,,,Material-00059,EP,pharmaceutical,Aurobindo,36,Store below 25C,True,2026-02-28T06:26:33.563324
986614687031863709,MAT-00060,Material-00060,INTERMEDIATE,Intermediate,727547-24-4,,,,Material-00060,NF,pharmaceutical,Roquette,12,Store at 2-8C,True,2026-02-28T06:26:33.563331
752661355295328399,MAT-00061,Material-00061,EXCIPIENT,Excipient,776009-78-3,,,,Material-00061,EP,pharmaceutical,Gattefosse,60,Store at 2-8C,True,2026-02-28T06:26:33.563336
126928984108989144,MAT-00062,Material-00062,REFERENCE_STD,Reference Standard,506539-89-2,,,,Material-00062,IN_HOUSE,pharmaceutical,Teva API,12,Store at -20C,True,2026-02-28T06:26:33.563341
51451838463802303,MAT-00063,Material-00063,REFERENCE_STD,Reference Standard,950102-94-8,,,,Material-00063,USP,pharmaceutical,Ashland,24,Store below 25C,True,2026-02-28T06:26:33.563345
1013781098635099581,MAT-00064,Material-00064,INTERMEDIATE,Intermediate,210495-99-9,,,,Material-00064,JP,pharmaceutical,Sigma-Aldrich,48,Store in dry place,True,2026-02-28T06:26:33.563350
598881942628357648,MAT-00065,Amlodipine,API,Active Pharmaceutical Ingredient,407573-94-4,H13C8N13F17,1174.2731,Amlodipine,Amlodipine,USP,pharmaceutical,MSN Labs,36,Store at -20C,True,2026-02-28T06:26:33.563363
1033581220268184813,MAT-00066,Material-00066,REFERENCE_STD,Reference Standard,557431-21-2,,,,Material-00066,EP,pharmaceutical,Gattefosse,48,Protect from light,True,2026-02-28T06:26:33.563369
337757603870673672,MAT-00067,Material-00067,RAW_MATERIAL,Raw Material,22582-15-3,,,,Material-00067,ACS,pharmaceutical,Ashland,36,Store at -20C,True,2026-02-28T06:26:33.563374
550712576090564091,MAT-00068,Material-00068,PACKAGING,Packaging Material,780600-30-0,,,,Material-00068,JP,pharmaceutical,Merck KGaA,36,Store at 2-8C,True,2026-02-28T06:26:33.563381
535844684957055120,MAT-00069,Material-00069,RAW_MATERIAL,Raw Material,317062-40-8,,,,Material-00069,JP,pharmaceutical,Dr. Reddy's,12,Store in dry place,True,2026-02-28T06:26:33.563386
174721967269947623,MAT-00070,Material-00070,INTERMEDIATE,Intermediate,921409-59-0,,,,Material-00070,ACS,pharmaceutical,Ashland,24,Store below 30C,True,2026-02-28T06:26:33.563393
226936489422974800,MAT-00071,Material-00071,INTERMEDIATE,Intermediate,940806-60-2,,,,Material-00071,USP,pharmaceutical,Teva API,48,Protect from light,True,2026-02-28T06:26:33.563398
938469271649441634,MAT-00072,Material-00072,RAW_MATERIAL,Raw Material,642248-90-3,,,,Material-00072,NF,pharmaceutical,Colorcon,60,Store below 30C,True,2026-02-28T06:26:33.563406
891229384181243180,MAT-00073,Material-00073,PACKAGING,Packaging Material,327607-87-5,,,,Material-00073,NF,pharmaceutical,Gattefosse,24,Store below 30C,True,2026-02-28T06:26:33.563412
1003496438710335743,MAT-00074,Material-00074,RAW_MATERIAL,Raw Material,145358-84-8,,,,Material-00074,IN_HOUSE,pharmaceutical,Dr. Reddy's,24,Store below 30C,True,2026-02-28T06:26:33.563417
260192556256329708,MAT-00075,Material-00075,INTERMEDIATE,Intermediate,722028-77-2,,,,Material-00075,NF,pharmaceutical,MSN Labs,24,Store in dry place,True,2026-02-28T06:26:33.563421
558589151772102783,MAT-00076,Material-00076,REFERENCE_STD,Reference Standard,961711-30-5,,,,Material-00076,USP,pharmaceutical,Gattefosse,60,Store in dry place,True,2026-02-28T06:26:33.563426
434844898380083049,MAT-00077,Amoxicillin,API,Active Pharmaceutical Ingredient,333075-28-0,Cl24P30N27O29,800.5321,Amoxicillin,Amoxicillin,IN_HOUSE,pharmaceutical,Ashland,24,Store below 30C,True,2026-02-28T06:26:33.563437
343191928382591378,MAT-00078,Lisinopril,API,Active Pharmaceutical Ingredient,193770-13-9,OP12H3F23,957.8089,Lisinopril,Lisinopril,EP,pharmaceutical,Gattefosse,60,Store at -20C,True,2026-02-28T06:26:33.563448
4609276312706275,MAT-00079,Material-00079,RAW_MATERIAL,Raw Material,681171-57-2,,,,Material-00079,NF,pharmaceutical,Roquette,48,Store below 30C,True,2026-02-28T06:26:33.563454
680551267904541096,MAT-00080,Material-00080,EXCIPIENT,Excipient,202697-38-0,,,,Material-00080,NF,pharmaceutical,Dr. Reddy's,12,Store at 2-8C,True,2026-02-28T06:26:33.563461
61614539227514190,MAT-00081,Material-00081,PACKAGING,Packaging Material,233415-95-3,,,,Material-00081,EP,pharmaceutical,BASF,24,Store at -20C,True,2026-02-28T06:26:33.563466
965634687844732543,MAT-00082,Material-00082,REFERENCE_STD,Reference Standard,513792-98-5,,,,Material-00082,NF,pharmaceutical,MSN Labs,24,Store at -20C,True,2026-02-28T06:26:33.563471
370047899890507665,MAT-00083,Material-00083,PACKAGING,Packaging Material,813970-15-9,,,,Material-00083,IN_HOUSE,pharmaceutical,Aurobindo,48,Store in dry place,True,2026-02-28T06:26:33.563475
1067524268114984510,MAT-00084,Material-00084,INTERMEDIATE,Intermediate,413346-88-9,,,,Material-00084,ACS,pharmaceutical,Gattefosse,60,Store in dry place,True,2026-02-28T06:26:33.563480
674013311627519970,MAT-00085,Material-00085,RAW_MATERIAL,Raw Material,825195-14-8,,,,Material-00085,USP,pharmaceutical,Roquette,48,Store below 25C,True,2026-02-28T06:26:33.563484
612871822316380737,MAT-00086,Material-00086,EXCIPIENT,Excipient,543949-78-6,,,,Material-00086,IN_HOUSE,pharmaceutical,Sigma-Aldrich,60,Store at -20C,True,2026-02-28T06:26:33.563489
378227877293744867,MAT-00087,Material-00087,REFERENCE_STD,Reference Standard,802378-90-0,,,,Material-00087,EP,pharmaceutical,Ashland,48,Store at -20C,True,2026-02-28T06:26:33.563493
1140780322048048730,MAT-00088,Material-00088,INTERMEDIATE,Intermediate,811309-46-7,,,,Material-00088,EP,pharmaceutical,DFE Pharma,36,Protect from light,True,2026-02-28T06:26:33.563501
1110784978831203836,MAT-00089,Dulaglutide,API,Active Pharmaceutical Ingredient,542131-28-7,H5P13Br14S11F15,127.4033,Dulaglutide,Dulaglutide,NF,pharmaceutical,Croda,24,Store at -20C,True,2026-02-28T06:26:33.563512
327536624524491637,MAT-00090,Pantoprazole,API,Active Pharmaceutical Ingredient,339867-98-2,H23P15,797.4797,Pantoprazole,Pantoprazole,USP,pharmaceutical,Gattefosse,48,Store in dry place,True,2026-02-28T06:26:33.563524
563360840079456410,MAT-00091,Material-00091,REFERENCE_STD,Reference Standard,641854-30-6,,,,Material-00091,ACS,pharmaceutical,DFE Pharma,12,Store below 30C,True,2026-02-28T06:26:33.563530
75990637557821888,MAT-00092,Material-00092,INTERMEDIATE,Intermediate,593010-94-2,,,,Material-00092,EP,pharmaceutical,Aurobindo,24,Store below 30C,True,2026-02-28T06:26:33.563535
826603557137238796,MAT-00093,Material-00093,RAW_MATERIAL,Raw Material,53852-63-4,,,,Material-00093,JP,pharmaceutical,Teva API,48,Store at 2-8C,True,2026-02-28T06:26:33.563540
501750680292574501,MAT-00094,Material-00094,RAW_MATERIAL,Raw Material,189523-25-2,,,,Material-00094,EP,pharmaceutical,Sigma-Aldrich,60,Store at 2-8C,True,2026-02-28T06:26:33.563545
134375562300064066,MAT-00095,Dapagliflozin,API,Active Pharmaceutical Ingredient,521850-73-8,Br7O19,825.4177,Dapagliflozin,Dapagliflozin,NF,pharmaceutical,DFE Pharma,48,Store below 25C,True,2026-02-28T06:26:33.563554
764059642484495786,MAT-00096,Material-00096,REFERENCE_STD,Reference Standard,629302-10-3,,,,Material-00096,ACS,pharmaceutical,Ashland,60,Store in dry place,True,2026-02-28T06:26:33.563559
1029483111339224976,MAT-00097,Material-00097,REFERENCE_STD,Reference Standard,860009-36-0,,,,Material-00097,EP,pharmaceutical,Evonik,12,Store in dry place,True,2026-02-28T06:26:33.563564
525385628621173071,MAT-00098,Material-00098,INTERMEDIATE,Intermediate,38554-28-0,,,,Material-00098,IN_HOUSE,pharmaceutical,Croda,60,Store at 2-8C,True,2026-02-28T06:26:33.563569
21019147649439064,MAT-00099,Material-00099,INTERMEDIATE,Intermediate,965143-21-0,,,,Material-00099,USP,pharmaceutical,DFE Pharma,24,Store below 30C,True,2026-02-28T06:26:33.563573
851974983728899606,MAT-00100,Material-00100,RAW_MATERIAL,Raw Material,298244-88-9,,,,Material-00100,ACS,pharmaceutical,Dr. Reddy's,60,Store below 30C,True,2026-02-28T06:26:33.563581
723300867262234279,MAT-00101,Material-00101,PACKAGING,Packaging Material,785784-84-5,,,,Material-00101,USP,pharmaceutical,BASF,36,Store at 2-8C,True,2026-02-28T06:26:33.563586
685525464848316157,MAT-00102,Material-00102,INTERMEDIATE,Intermediate,941178-58-1,,,,Material-00102,NF,pharmaceutical,Aurobindo,60,Store below 25C,True,2026-02-28T06:26:33.563594
676505282582859200,MAT-00103,Material-00103,INTERMEDIATE,Intermediate,493737-27-1,,,,Material-00103,IN_HOUSE,pharmaceutical,Aurobindo,36,Store at 2-8C,True,2026-02-28T06:26:33.563601
1136999472857578938,MAT-00104,Material-00104,REFERENCE_STD,Reference Standard,433906-77-3,,,,Material-00104,IN_HOUSE,pharmaceutical,Colorcon,60,Store below 25C,True,2026-02-28T06:26:33.563606
346904201931556089,MAT-00105,Nivolumab,API,Active Pharmaceutical Ingredient,765225-90-8,Br14S20,1032.5778,Nivolumab,Nivolumab,JP,pharmaceutical,Gattefosse,60,Protect from light,True,2026-02-28T06:26:33.563616
659818158927792754,MAT-00106,Material-00106,INTERMEDIATE,Intermediate,972190-26-9,,,,Material-00106,ACS,pharmaceutical,Roquette,60,Store in dry place,True,2026-02-28T06:26:33.563621
607645862596662001,MAT-00107,Material-00107,RAW_MATERIAL,Raw Material,521969-73-2,,,,Material-00107,ACS,pharmaceutical,Colorcon,36,Store below 30C,True,2026-02-28T06:26:33.563626
272521932933561243,MAT-00108,Levothyroxine,API,Active Pharmaceutical Ingredient,25201-69-1,Cl11P12C18,986.6479,Levothyroxine,Levothyroxine,EP,pharmaceutical,Sigma-Aldrich,24,Store in dry place,True,2026-02-28T06:26:33.563635
722688847010340533,MAT-00109,Material-00109,INTERMEDIATE,Intermediate,266826-18-4,,,,Material-00109,JP,pharmaceutical,Gattefosse,60,Store at 2-8C,True,2026-02-28T06:26:33.563640
629608188662472726,MAT-00110,Levothyroxine,API,Active Pharmaceutical Ingredient,719200-52-5,C30N22H16Br30F16,976.9798,Levothyroxine,Levothyroxine,IN_HOUSE,pharmaceutical,Evonik,48,Store below 30C,True,2026-02-28T06:26:33.563653
589978547529406046,MAT-00111,Material-00111,RAW_MATERIAL,Raw Material,483042-78-5,,,,Material-00111,NF,pharmaceutical,Dr. Reddy's,48,Store in dry place,True,2026-02-28T06:26:33.563658
336560445772774959,MAT-00112,Apixaban,API,Active Pharmaceutical Ingredient,313934-82-5,O26F30,1076.8324,Apixaban,Apixaban,JP,pharmaceutical,BASF,24,Store at 2-8C,True,2026-02-28T06:26:33.563667
135516203744807016,MAT-00113,Valsartan,API,Active Pharmaceutical Ingredient,393518-90-8,Cl4N28S26,926.6942,Valsartan,Valsartan,IN_HOUSE,pharmaceutical,Aurobindo,36,Store in dry place,True,2026-02-28T06:26:33.563676
630832097190533075,MAT-00114,Escitalopram,API,Active Pharmaceutical Ingredient,434023-21-7,F10Br7Cl17,432.5501,Escitalopram,Escitalopram,USP,pharmaceutical,Shin-Etsu,12,Store below 30C,True,2026-02-28T06:26:33.563685
854748156265761308,MAT-00115,Prednisone,API,Active Pharmaceutical Ingredient,530623-13-7,O24F28P17,441.3946,Prednisone,Prednisone,JP,pharmaceutical,Evonik,12,Protect from light,True,2026-02-28T06:26:33.563695
216423705998844583,MAT-00116,Material-00116,RAW_MATERIAL,Raw Material,139214-36-0,,,,Material-00116,NF,pharmaceutical,DFE Pharma,60,Store below 25C,True,2026-02-28T06:26:33.563702
97563061245552906,MAT-00117,Rosuvastatin,API,Active Pharmaceutical Ingredient,977676-15-9,F29Br2,213.4131,Rosuvastatin,Rosuvastatin,IN_HOUSE,pharmaceutical,Teva API,36,Store below 25C,True,2026-02-28T06:26:33.563717
582091995378733624,MAT-00118,Material-00118,REFERENCE_STD,Reference Standard,795388-49-3,,,,Material-00118,JP,pharmaceutical,Colorcon,24,Store at 2-8C,True,2026-02-28T06:26:33.563732
120412365126196716,MAT-00119,Material-00119,INTERMEDIATE,Intermediate,558181-50-7,,,,Material-00119,IN_HOUSE,pharmaceutical,BASF,36,Store below 30C,True,2026-02-28T06:26:33.563739
554566041758701575,MAT-00120,Material-00120,EXCIPIENT,Excipient,286979-24-0,,,,Material-00120,ACS,pharmaceutical,Gattefosse,60,Store below 25C,True,2026-02-28T06:26:33.563750
993179864687790771,MAT-00121,Material-00121,EXCIPIENT,Excipient,568932-54-8,,,,Material-00121,JP,pharmaceutical,Ashland,24,Store in dry place,True,2026-02-28T06:26:33.563754
50266814229384832,MAT-00122,Material-00122,INTERMEDIATE,Intermediate,602019-41-2,,,,Material-00122,USP,pharmaceutical,Ashland,60,Store at 2-8C,True,2026-02-28T06:26:33.563759
788230390709430167,MAT-00123,Material-00123,REFERENCE_STD,Reference Standard,465248-16-2,,,,Material-00123,USP,pharmaceutical,Roquette,12,Store below 25C,True,2026-02-28T06:26:33.563764
753614643183089484,MAT-00124,Material-00124,PACKAGING,Packaging Material,56463-21-6,,,,Material-00124,NF,pharmaceutical,Evonik,60,Protect from light,True,2026-02-28T06:26:33.563769
167643226366519649,MAT-00125,Material-00125,RAW_MATERIAL,Raw Material,876842-98-7,,,,Material-00125,ACS,pharmaceutical,Shin-Etsu,36,Store at 2-8C,True,2026-02-28T06:26:33.563773
185019543605795909,MAT-00126,Material-00126,EXCIPIENT,Excipient,747578-95-8,,,,Material-00126,USP,pharmaceutical,MSN Labs,48,Protect from light,True,2026-02-28T06:26:33.563778
841505996087560335,MAT-00127,Material-00127,EXCIPIENT,Excipient,97479-99-7,,,,Material-00127,USP,pharmaceutical,Roquette,36,Store in dry place,True,2026-02-28T06:26:33.563783
44791685946727955,MAT-00128,Material-00128,RAW_MATERIAL,Raw Material,744765-69-7,,,,Material-00128,EP,pharmaceutical,Colorcon,24,Protect from light,True,2026-02-28T06:26:33.563788
622659458585644125,MAT-00129,Material-00129,INTERMEDIATE,Intermediate,957254-56-6,,,,Material-00129,EP,pharmaceutical,Teva API,36,Store at 2-8C,True,2026-02-28T06:26:33.563793
62623290853019050,MAT-00130,Material-00130,PACKAGING,Packaging Material,511237-13-1,,,,Material-00130,NF,pharmaceutical,BASF,36,Store at -20C,True,2026-02-28T06:26:33.563800
677611952431691340,MAT-00131,Material-00131,PACKAGING,Packaging Material,886900-31-4,,,,Material-00131,JP,pharmaceutical,Croda,60,Store below 30C,True,2026-02-28T06:26:33.563805
1043796155907276223,MAT-00132,Material-00132,REFERENCE_STD,Reference Standard,107982-61-1,,,,Material-00132,JP,pharmaceutical,Gattefosse,12,Store at 2-8C,True,2026-02-28T06:26:33.563810
986351732729167540,MAT-00133,Material-00133,REFERENCE_STD,Reference Standard,483417-61-9,,,,Material-00133,NF,pharmaceutical,Colorcon,60,Store below 30C,True,2026-02-28T06:26:33.563817
59345364718276706,MAT-00134,Material-00134,REFERENCE_STD,Reference Standard,166794-71-6,,,,Material-00134,USP,pharmaceutical,Shin-Etsu,24,Store in dry place,True,2026-02-28T06:26:33.563822
215697291706639714,MAT-00135,Material-00135,REFERENCE_STD,Reference Standard,452141-65-9,,,,Material-00135,JP,pharmaceutical,Gattefosse,24,Store below 30C,True,2026-02-28T06:26:33.563827
