product_key,product_id,product_name,inn_name,brand_name,product_family,dosage_form_code,dosage_form_name,route_of_administration,strength,strength_value,strength_uom,therapeutic_area,nda_number,shelf_life_months,storage_conditions,container_closure_system,is_active,load_timestamp
419881624303108562,PROD-00011,Furosemide 100 IU/mL Lyophilized Powder,Furosemide,FUROBRAND-18,Furosemide,LYOPH,Lyophilized Powder,NASAL,100 IU/mL,100.0,IU/mL,Pain,NDA-892495,24,Store below 25C,Glass vial,True,2026-02-28T06:26:33.559262
509203227893037148,PROD-00012,Cetuximab 50 mg/mL Extended-Release Tablet,Cetuximab,CETUBRAND-77,Cetuximab,TAB,Extended-Release Tablet,IV,50 mg/mL,50.0,mg/mL,Gastroenterology,NDA-680099,24,Store in dry place,Amber glass bottle,True,2026-02-28T06:26:33.559269
45464188931440153,PROD-00013,Levothyroxine 5% Topical Cream,Levothyroxine,LEVOBRAND-44,Levothyroxine,CRM,Topical Cream,TOPICAL,5%,,mg,Cardiology,NDA-265840,60,Store below 25C,Amber glass bottle,True,2026-02-28T06:26:33.559276
1013423603093668844,PROD-00014,Canagliflozin 2% Hard Gelatin Capsule,Canagliflozin,CANABRAND-14,Canagliflozin,CAP,Hard Gelatin Capsule,IM,2%,,mg,Dermatology,NDA-769987,36,Store below 30C,PVC/Alu blister,True,2026-02-28T06:26:33.559282
359614313988775403,PROD-00015,Vildagliptin 5% Extended-Release Tablet,Vildagliptin,VILDBRAND-63,Vildagliptin,TAB,Extended-Release Tablet,ORAL,5%,,mg,Oncology,,48,Store at 2-8C,Glass vial,True,2026-02-28T06:26:33.559287
822757707067547309,PROD-00016,Atorvastatin 100 IU/mL Chewable Tablet,Atorvastatin,,Atorvastatin,TAB,Chewable Tablet,IV,100 IU/mL,100.0,IU/mL,Gastroenterology,NDA-897549,36,Store below 30C,Amber glass bottle,True,2026-02-28T06:26:33.559296
259330300925337027,PROD-00017,Empagliflozin 200 mg Oral Solution,Empagliflozin,EMPABRAND-78,Empagliflozin,SOL,Oral Solution,TOPICAL,200 mg,200.0,mg,Respiratory,NDA-665492,36,Store in dry place,PVC/Alu blister,True,2026-02-28T06:26:33.559303
348991267571719846,PROD-00018,Tamsulosin 10 mg/mL Topical Cream,Tamsulosin,TAMSBRAND-58,Tamsulosin,CRM,Topical Cream,OPHTHALMIC,10 mg/mL,10.0,mg/mL,Cardiology,NDA-167136,48,Store below 25C,Prefilled syringe,True,2026-02-28T06:26:33.559309
1059569585534443896,PROD-00019,Pembrolizumab 100 IU/mL Chewable Tablet,Pembrolizumab,,Pembrolizumab,TAB,Chewable Tablet,SC,100 IU/mL,100.0,IU/mL,Hematology,NDA-340062,24,Store below 25C,LDPE bag,True,2026-02-28T06:26:33.559315
762888991163619282,PROD-00020,Valsartan 2% Immediate-Release Tablet,Valsartan,,Valsartan,TAB,Immediate-Release Tablet,SC,2%,,mg,Gastroenterology,NDA-238739,60,Store below 30C,LDPE bag,True,2026-02-28T06:26:33.559323
481743649063248556,PROD-00021,Empagliflozin 50 mg/mL Transdermal Patch,Empagliflozin,,Empagliflozin,PATCH,Transdermal Patch,SC,50 mg/mL,50.0,mg/mL,Dermatology,NDA-544154,60,Store at -20C,LDPE bag,True,2026-02-28T06:26:33.559329
92163266228085173,PROD-00022,Canagliflozin 50 mg Film-Coated Tablet,Canagliflozin,CANABRAND-44,Canagliflozin,TAB,Film-Coated Tablet,ORAL,50 mg,50.0,mg,Nephrology,NDA-360735,36,Store below 30C,Prefilled syringe,True,2026-02-28T06:26:33.559335
634629078208392176,PROD-00023,Prednisone 50 mg/mL Extended-Release Tablet,Prednisone,,Prednisone,TAB,Extended-Release Tablet,IM,50 mg/mL,50.0,mg/mL,Immunology,NDA-179046,60,Protect from light,HDPE bottle,True,2026-02-28T06:26:33.559340
298170960334418149,PROD-00024,Atorvastatin 5% Topical Cream,Atorvastatin,ATORBRAND-97,Atorvastatin,CRM,Topical Cream,ORAL,5%,,mg,Immunology,,60,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559345
797764409889811910,PROD-00025,Tamsulosin 10 mg Lyophilized Powder,Tamsulosin,TAMSBRAND-50,Tamsulosin,LYOPH,Lyophilized Powder,IM,10 mg,10.0,mg,Endocrinology,NDA-923267,60,Store at 2-8C,Alu/Alu blister,True,2026-02-28T06:26:33.559351
858735251652955801,PROD-00026,Dulaglutide 5% Topical Ointment,Dulaglutide,,Dulaglutide,OIN,Topical Ointment,OPHTHALMIC,5%,,mg,Endocrinology,NDA-161324,24,Store in dry place,PVC/Alu blister,True,2026-02-28T06:26:33.559356
919313665479229184,PROD-00027,Atorvastatin 100 IU/mL Film-Coated Tablet,Atorvastatin,ATORBRAND-68,Atorvastatin,TAB,Film-Coated Tablet,OPHTHALMIC,100 IU/mL,100.0,IU/mL,CNS,,24,Store below 30C,HDPE bottle,True,2026-02-28T06:26:33.559365
64422314130944549,PROD-00028,Rituximab 500 mg Immediate-Release Tablet,Rituximab,,Rituximab,TAB,Immediate-Release Tablet,NASAL,500 mg,500.0,mg,Ophthalmology,NDA-723398,24,Protect from light,HDPE bottle,True,2026-02-28T06:26:33.559372
172845274452014540,PROD-00029,Carvedilol 100 IU/mL Topical Cream,Carvedilol,CARVBRAND-27,Carvedilol,CRM,Topical Cream,INHALATION,100 IU/mL,100.0,IU/mL,Dermatology,NDA-350280,48,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559377
335345955036416474,PROD-00030,Insulin Lispro 2.5 mg/mL Topical Cream,Insulin Lispro,INSUBRAND-97,Insulin Lispro,CRM,Topical Cream,OPHTHALMIC,2.5 mg/mL,2.5,mg/mL,Cardiology,,24,Store below 25C,Prefilled syringe,True,2026-02-28T06:26:33.559386
259963875659914469,PROD-00031,Hydrochlorothiazide 1 g Oral Solution,Hydrochlorothiazide,HYDRBRAND-9,Hydrochlorothiazide,SOL,Oral Solution,IM,1 g,1.0,g,Immunology,NDA-265409,60,Protect from light,Amber glass bottle,True,2026-02-28T06:26:33.559393
71284517300597855,PROD-00032,Rosuvastatin 2% Oral Suspension,Rosuvastatin,ROSUBRAND-71,Rosuvastatin,SUS,Oral Suspension,ORAL,2%,,mg,Endocrinology,NDA-208618,36,Store at 2-8C,HDPE bottle,True,2026-02-28T06:26:33.559399
1051959924867118738,PROD-00033,Losartan 5% Topical Ointment,Losartan,,Losartan,OIN,Topical Ointment,IM,5%,,mg,Ophthalmology,NDA-459536,36,Store in dry place,Amber glass bottle,True,2026-02-28T06:26:33.559404
105786910957601243,PROD-00034,Pantoprazole 1% Oral Solution,Pantoprazole,PANTBRAND-7,Pantoprazole,SOL,Oral Solution,TOPICAL,1%,,mg,Cardiology,NDA-969634,48,Store below 25C,HDPE bottle,True,2026-02-28T06:26:33.559410
961207467351915804,PROD-00035,Valsartan 100 mg Transdermal Patch,Valsartan,,Valsartan,PATCH,Transdermal Patch,TOPICAL,100 mg,100.0,mg,Gastroenterology,NDA-548462,24,Store below 25C,HDPE bottle,True,2026-02-28T06:26:33.559415
1072246679143318893,PROD-00036,Dulaglutide 100 mg Lyophilized Powder,Dulaglutide,DULABRAND-75,Dulaglutide,LYOPH,Lyophilized Powder,ORAL,100 mg,100.0,mg,Pain,,36,Store below 25C,PVC/Alu blister,True,2026-02-28T06:26:33.559420
398011804291381525,PROD-00037,Fluoxetine 10 mg Lyophilized Powder,Fluoxetine,,Fluoxetine,LYOPH,Lyophilized Powder,INHALATION,10 mg,10.0,mg,Immunology,NDA-470858,60,Protect from light,Amber glass bottle,True,2026-02-28T06:26:33.559427
559552419575857986,PROD-00038,Simvastatin 500 mg Lyophilized Powder,Simvastatin,SIMVBRAND-23,Simvastatin,LYOPH,Lyophilized Powder,IM,500 mg,500.0,mg,Respiratory,,48,Store at -20C,LDPE bag,True,2026-02-28T06:26:33.559432
926999434206967062,PROD-00039,Insulin Lispro 500 mg Metered-Dose Inhaler,Insulin Lispro,,Insulin Lispro,INH,Metered-Dose Inhaler,TOPICAL,500 mg,500.0,mg,Hematology,,24,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559440
861584921581444424,PROD-00040,Gabapentin 0.5% Metered-Dose Inhaler,Gabapentin,GABABRAND-30,Gabapentin,INH,Metered-Dose Inhaler,INHALATION,0.5%,,mg,Immunology,,36,Store at -20C,PVC/Alu blister,True,2026-02-28T06:26:33.559448
517631290157630070,PROD-00041,Escitalopram 25 mg Metered-Dose Inhaler,Escitalopram,ESCIBRAND-66,Escitalopram,INH,Metered-Dose Inhaler,TOPICAL,25 mg,25.0,mg,Respiratory,NDA-984642,48,Store below 25C,HDPE bottle,True,2026-02-28T06:26:33.559456
939327702352760092,PROD-00042,Pantoprazole 100 IU/mL Extended-Release Tablet,Pantoprazole,,Pantoprazole,TAB,Extended-Release Tablet,TOPICAL,100 IU/mL,100.0,IU/mL,Ophthalmology,NDA-863934,48,Store at -20C,Prefilled syringe,True,2026-02-28T06:26:33.559462
887321465825221172,PROD-00043,Rivaroxaban 20 mg/mL Immediate-Release Tablet,Rivaroxaban,,Rivaroxaban,TAB,Immediate-Release Tablet,SC,20 mg/mL,20.0,mg/mL,Hematology,NDA-645175,36,Store at 2-8C,Alu/Alu blister,True,2026-02-28T06:26:33.559470
1121237114946031143,PROD-00044,Amlodipine 5 mg/mL Topical Cream,Amlodipine,AMLOBRAND-16,Amlodipine,CRM,Topical Cream,INHALATION,5 mg/mL,5.0,mg/mL,Hematology,NDA-631756,48,Store in dry place,Alu/Alu blister,True,2026-02-28T06:26:33.559476
573539690703124628,PROD-00045,Clopidogrel 2.5 mg/mL Solution for Injection,Clopidogrel,,Clopidogrel,INJ,Solution for Injection,IM,2.5 mg/mL,2.5,mg/mL,Dermatology,NDA-810219,36,Protect from light,Prefilled syringe,True,2026-02-28T06:26:33.559483
1053144275250980463,PROD-00046,Rosuvastatin 5% Solution for Injection,Rosuvastatin,ROSUBRAND-27,Rosuvastatin,INJ,Solution for Injection,ORAL,5%,,mg,Respiratory,NDA-736130,48,Store at -20C,Alu/Alu blister,True,2026-02-28T06:26:33.559488
43900186370578611,PROD-00047,Prednisone 250 mg Topical Cream,Prednisone,PREDBRAND-95,Prednisone,CRM,Topical Cream,OPHTHALMIC,250 mg,250.0,mg,CNS,NDA-397571,48,Store below 25C,LDPE bag,True,2026-02-28T06:26:33.559494
835465806129470165,PROD-00048,Vildagliptin 2.5 mg/mL Chewable Tablet,Vildagliptin,VILDBRAND-19,Vildagliptin,TAB,Chewable Tablet,SC,2.5 mg/mL,2.5,mg/mL,Oncology,,60,Protect from light,LDPE bag,True,2026-02-28T06:26:33.559500
217844240838089918,PROD-00049,Alogliptin 0.5% Immediate-Release Tablet,Alogliptin,ALOGBRAND-74,Alogliptin,TAB,Immediate-Release Tablet,NASAL,0.5%,,mg,Immunology,NDA-502630,60,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559505
558795953541644026,PROD-00050,Simvastatin 5 mg Topical Cream,Simvastatin,SIMVBRAND-29,Simvastatin,CRM,Topical Cream,IV,5 mg,5.0,mg,CNS,NDA-829716,60,Store below 25C,Prefilled syringe,True,2026-02-28T06:26:33.559516
17879469996259073,PROD-00051,Sertraline 50 mg Lyophilized Powder,Sertraline,,Sertraline,LYOPH,Lyophilized Powder,OPHTHALMIC,50 mg,50.0,mg,Gastroenterology,NDA-686075,48,Store at -20C,Prefilled syringe,True,2026-02-28T06:26:33.559521
558468332076630328,PROD-00052,Canagliflozin 2% Lyophilized Powder,Canagliflozin,CANABRAND-71,Canagliflozin,LYOPH,Lyophilized Powder,NASAL,2%,,mg,Gastroenterology,NDA-879779,60,Store at -20C,PVC/Alu blister,True,2026-02-28T06:26:33.559527
555051001213798471,PROD-00053,Vildagliptin 1 g Chewable Tablet,Vildagliptin,VILDBRAND-36,Vildagliptin,TAB,Chewable Tablet,OPHTHALMIC,1 g,1.0,g,Gastroenterology,,48,Store below 30C,PVC/Alu blister,True,2026-02-28T06:26:33.559532
75417034344071864,PROD-00054,Valsartan 5% Soft Gelatin Capsule,Valsartan,,Valsartan,CAP,Soft Gelatin Capsule,IV,5%,,mg,Immunology,NDA-260227,36,Store below 25C,Alu/Alu blister,True,2026-02-28T06:26:33.559538
986140288278704057,PROD-00055,Carvedilol 5% Soft Gelatin Capsule,Carvedilol,CARVBRAND-27,Carvedilol,CAP,Soft Gelatin Capsule,OPHTHALMIC,5%,,mg,Respiratory,NDA-907189,24,Protect from light,Alu/Alu blister,True,2026-02-28T06:26:33.559543
158897841461444838,PROD-00056,Empagliflozin 10 mg/mL Film-Coated Tablet,Empagliflozin,EMPABRAND-54,Empagliflozin,TAB,Film-Coated Tablet,TOPICAL,10 mg/mL,10.0,mg/mL,Pain,NDA-672661,36,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559549
197493717619970327,PROD-00057,Escitalopram 1% Solution for Injection,Escitalopram,ESCIBRAND-86,Escitalopram,INJ,Solution for Injection,ORAL,1%,,mg,Dermatology,NDA-859359,36,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559555
207526099741866069,PROD-00058,Bevacizumab 5 mg Oral Solution,Bevacizumab,BEVABRAND-85,Bevacizumab,SOL,Oral Solution,NASAL,5 mg,5.0,mg,Oncology,,60,Store below 30C,LDPE bag,True,2026-02-28T06:26:33.559561
735291251878493964,PROD-00059,Dapagliflozin 10 mg Extended-Release Tablet,Dapagliflozin,DAPABRAND-28,Dapagliflozin,TAB,Extended-Release Tablet,TOPICAL,10 mg,10.0,mg,Gastroenterology,NDA-898207,60,Store at 2-8C,LDPE bag,True,2026-02-28T06:26:33.559569
647967682601457534,PROD-00060,Carvedilol 25 mg Hard Gelatin Capsule,Carvedilol,,Carvedilol,CAP,Hard Gelatin Capsule,OPHTHALMIC,25 mg,25.0,mg,Pain,,48,Store below 30C,Amber glass bottle,True,2026-02-28T06:26:33.559576
1051667049811657231,PROD-00061,Amlodipine 10 mg Transdermal Patch,Amlodipine,AMLOBRAND-26,Amlodipine,PATCH,Transdermal Patch,ORAL,10 mg,10.0,mg,Oncology,NDA-350132,36,Store at -20C,Amber glass bottle,True,2026-02-28T06:26:33.559582
1047007794187139125,PROD-00062,Levothyroxine 250 mg Oral Suspension,Levothyroxine,LEVOBRAND-99,Levothyroxine,SUS,Oral Suspension,OPHTHALMIC,250 mg,250.0,mg,Infectious Disease,,24,Store below 30C,PVC/Alu blister,True,2026-02-28T06:26:33.559588
261353276081289869,PROD-00063,Losartan 5 mg Oral Suspension,Losartan,LOSABRAND-49,Losartan,SUS,Oral Suspension,TOPICAL,5 mg,5.0,mg,Respiratory,NDA-307963,24,Protect from light,Amber glass bottle,True,2026-02-28T06:26:33.559594
703368583580933994,PROD-00064,Cetuximab 50 mg Chewable Tablet,Cetuximab,CETUBRAND-77,Cetuximab,TAB,Chewable Tablet,TOPICAL,50 mg,50.0,mg,Nephrology,,24,Store at 2-8C,Prefilled syringe,True,2026-02-28T06:26:33.559600
498669063194328257,PROD-00065,Furosemide 10 mg/mL Topical Cream,Furosemide,FUROBRAND-44,Furosemide,CRM,Topical Cream,IV,10 mg/mL,10.0,mg/mL,Oncology,NDA-962276,60,Store below 25C,Alu/Alu blister,True,2026-02-28T06:26:33.559606
603818097899774355,PROD-00066,Fluoxetine 0.5% Topical Cream,Fluoxetine,FLUOBRAND-94,Fluoxetine,CRM,Topical Cream,IM,0.5%,,mg,Pain,NDA-383201,60,Store at -20C,Alu/Alu blister,True,2026-02-28T06:26:33.559614
156270735487164068,PROD-00067,Canagliflozin 1 g Oral Suspension,Canagliflozin,CANABRAND-12,Canagliflozin,SUS,Oral Suspension,INHALATION,1 g,1.0,g,Endocrinology,NDA-355709,60,Protect from light,Prefilled syringe,True,2026-02-28T06:26:33.559623
1129922966821493099,PROD-00068,Insulin Lispro 5 mg/mL Solution for Injection,Insulin Lispro,INSUBRAND-42,Insulin Lispro,INJ,Solution for Injection,ORAL,5 mg/mL,5.0,mg/mL,CNS,NDA-472060,48,Store at 2-8C,PVC/Alu blister,True,2026-02-28T06:26:33.559632
761194972071899359,PROD-00069,Rituximab 1 g Topical Ointment,Rituximab,RITUBRAND-25,Rituximab,OIN,Topical Ointment,ORAL,1 g,1.0,g,Cardiology,NDA-526170,60,Protect from light,LDPE bag,True,2026-02-28T06:26:33.559641
441475643423137882,PROD-00070,Sertraline 1% Topical Ointment,Sertraline,SERTBRAND-3,Sertraline,OIN,Topical Ointment,OPHTHALMIC,1%,,mg,Cardiology,NDA-524045,36,Store at 2-8C,Amber glass bottle,True,2026-02-28T06:26:33.559653
629537423012654051,PROD-00071,Trastuzumab 1% Soft Gelatin Capsule,Trastuzumab,TRASBRAND-96,Trastuzumab,CAP,Soft Gelatin Capsule,INHALATION,1%,,mg,Pain,NDA-836996,60,Store at 2-8C,PVC/Alu blister,True,2026-02-28T06:26:33.559665
773932173788960206,PROD-00072,Pantoprazole 50 mg Chewable Tablet,Pantoprazole,PANTBRAND-96,Pantoprazole,TAB,Chewable Tablet,SC,50 mg,50.0,mg,Pain,NDA-823688,36,Store below 30C,Glass vial,True,2026-02-28T06:26:33.559672
298573309971132249,PROD-00073,Saxagliptin 1 g Lyophilized Powder for Injection,Saxagliptin,SAXABRAND-25,Saxagliptin,INJ,Lyophilized Powder for Injection,TOPICAL,1 g,1.0,g,Endocrinology,NDA-288158,48,Store below 25C,Amber glass bottle,True,2026-02-28T06:26:33.559685
539743454688524602,PROD-00074,Adalimumab 1 g Extended-Release Tablet,Adalimumab,ADALBRAND-71,Adalimumab,TAB,Extended-Release Tablet,ORAL,1 g,1.0,g,Endocrinology,NDA-232413,60,Store below 25C,LDPE bag,True,2026-02-28T06:26:33.559694
432984754753653068,PROD-00075,Acetaminophen 2.5 mg/mL Oral Suspension,Acetaminophen,ACETBRAND-44,Acetaminophen,SUS,Oral Suspension,OPHTHALMIC,2.5 mg/mL,2.5,mg/mL,CNS,NDA-364742,60,Store below 25C,LDPE bag,True,2026-02-28T06:26:33.559704
336931133477045047,PROD-00076,Amlodipine 1% Solution for Injection,Amlodipine,AMLOBRAND-88,Amlodipine,INJ,Solution for Injection,IV,1%,,mg,Oncology,,48,Store below 25C,Glass vial,True,2026-02-28T06:26:33.559712
156564598046008602,PROD-00077,Levothyroxine 50 mg/mL Oral Solution,Levothyroxine,LEVOBRAND-49,Levothyroxine,SOL,Oral Solution,SC,50 mg/mL,50.0,mg/mL,Gastroenterology,NDA-411797,60,Store at 2-8C,Prefilled syringe,True,2026-02-28T06:26:33.559728
744812652539231921,PROD-00078,Bevacizumab 300 IU/mL Film-Coated Tablet,Bevacizumab,BEVABRAND-27,Bevacizumab,TAB,Film-Coated Tablet,IV,300 IU/mL,300.0,IU/mL,Dermatology,NDA-792509,24,Store below 30C,Glass vial,True,2026-02-28T06:26:33.559737
256945452748938313,PROD-00079,Amoxicillin 25 mg Oral Solution,Amoxicillin,,Amoxicillin,SOL,Oral Solution,IM,25 mg,25.0,mg,Gastroenterology,NDA-592738,48,Store below 25C,Glass vial,True,2026-02-28T06:26:33.559743
721140904691051322,PROD-00080,Montelukast 2.5 mg/mL Topical Ointment,Montelukast,,Montelukast,OIN,Topical Ointment,OPHTHALMIC,2.5 mg/mL,2.5,mg/mL,Immunology,NDA-926097,36,Store at -20C,HDPE bottle,True,2026-02-28T06:26:33.559753
496491646814146646,PROD-00081,Adalimumab 100 mg Chewable Tablet,Adalimumab,ADALBRAND-10,Adalimumab,TAB,Chewable Tablet,TOPICAL,100 mg,100.0,mg,Oncology,,48,Protect from light,Amber glass bottle,True,2026-02-28T06:26:33.559758
148133620413356981,PROD-00082,Nivolumab 2.5 mg/mL Lyophilized Powder,Nivolumab,,Nivolumab,LYOPH,Lyophilized Powder,OPHTHALMIC,2.5 mg/mL,2.5,mg/mL,Hematology,NDA-522060,48,Protect from light,Prefilled syringe,True,2026-02-28T06:26:33.559764
135351590147939382,PROD-00083,Sitagliptin 25 mg Lyophilized Powder for Injection,Sitagliptin,SITABRAND-95,Sitagliptin,INJ,Lyophilized Powder for Injection,ORAL,25 mg,25.0,mg,Infectious Disease,NDA-127121,24,Store below 30C,Amber glass bottle,True,2026-02-28T06:26:33.559773
118754325017438117,PROD-00084,Nivolumab 5 mg Oral Suspension,Nivolumab,NIVOBRAND-98,Nivolumab,SUS,Oral Suspension,TOPICAL,5 mg,5.0,mg,Nephrology,,60,Store at 2-8C,Glass vial,True,2026-02-28T06:26:33.559779
281192908024571426,PROD-00085,Trastuzumab 1% Solution for Injection,Trastuzumab,TRASBRAND-53,Trastuzumab,INJ,Solution for Injection,IV,1%,,mg,Infectious Disease,NDA-209680,36,Store at 2-8C,Alu/Alu blister,True,2026-02-28T06:26:33.559784
936094233723781441,PROD-00086,Dulaglutide 2.5 mg/mL Lyophilized Powder for Injection,Dulaglutide,DULABRAND-71,Dulaglutide,INJ,Lyophilized Powder for Injection,NASAL,2.5 mg/mL,2.5,mg/mL,Oncology,NDA-429795,48,Store at 2-8C,HDPE bottle,True,2026-02-28T06:26:33.559790
1031706422186144400,PROD-00087,Alogliptin 2% Solution for Injection,Alogliptin,ALOGBRAND-70,Alogliptin,INJ,Solution for Injection,ORAL,2%,,mg,Gastroenterology,NDA-296694,48,Protect from light,LDPE bag,True,2026-02-28T06:26:33.559795
334609928707068896,PROD-00088,Sitagliptin 0.5% Topical Cream,Sitagliptin,,Sitagliptin,CRM,Topical Cream,ORAL,0.5%,,mg,Pain,,48,Store at -20C,Amber glass bottle,True,2026-02-28T06:26:33.559800
44063074972054884,PROD-00089,Sitagliptin 5 mg Immediate-Release Tablet,Sitagliptin,SITABRAND-40,Sitagliptin,TAB,Immediate-Release Tablet,SC,5 mg,5.0,mg,Pain,,60,Store below 25C,Glass vial,True,2026-02-28T06:26:33.559808
610431504591117420,PROD-00090,Levothyroxine 50 mg Lyophilized Powder for Injection,Levothyroxine,LEVOBRAND-92,Levothyroxine,INJ,Lyophilized Powder for Injection,IM,50 mg,50.0,mg,Endocrinology,NDA-386706,60,Store at -20C,Alu/Alu blister,True,2026-02-28T06:26:33.559818
128540710958684665,PROD-00091,Sertraline 5% Lyophilized Powder for Injection,Sertraline,SERTBRAND-77,Sertraline,INJ,Lyophilized Powder for Injection,IM,5%,,mg,Pain,NDA-243139,24,Store at 2-8C,LDPE bag,True,2026-02-28T06:26:33.559823
993657727117075399,PROD-00092,Carvedilol 2% Soft Gelatin Capsule,Carvedilol,CARVBRAND-37,Carvedilol,CAP,Soft Gelatin Capsule,TOPICAL,2%,,mg,Hematology,NDA-715448,60,Store below 30C,Alu/Alu blister,True,2026-02-28T06:26:33.559829
301899118155667719,PROD-00093,Adalimumab 10 mg/mL Lyophilized Powder for Injection,Adalimumab,ADALBRAND-70,Adalimumab,INJ,Lyophilized Powder for Injection,INHALATION,10 mg/mL,10.0,mg/mL,Respiratory,NDA-437408,36,Store in dry place,Glass vial,True,2026-02-28T06:26:33.559835
207252574746541451,PROD-00094,Nivolumab 500 mg Solution for Injection,Nivolumab,,Nivolumab,INJ,Solution for Injection,NASAL,500 mg,500.0,mg,Hematology,NDA-950823,60,Store at -20C,Amber glass bottle,True,2026-02-28T06:26:33.559840
312128951784160904,PROD-00095,Insulin Glargine 1% Extended-Release Tablet,Insulin Glargine,,Insulin Glargine,TAB,Extended-Release Tablet,ORAL,1%,,mg,Ophthalmology,NDA-205239,60,Store below 25C,Prefilled syringe,True,2026-02-28T06:26:33.559846
191381373109002391,PROD-00096,Dapagliflozin 100 mg Film-Coated Tablet,Dapagliflozin,DAPABRAND-20,Dapagliflozin,TAB,Film-Coated Tablet,NASAL,100 mg,100.0,mg,Cardiology,NDA-377896,48,Protect from light,Amber glass bottle,True,2026-02-28T06:26:33.559851
1053038436807015686,PROD-00097,Tamsulosin 25 mg Topical Cream,Tamsulosin,TAMSBRAND-69,Tamsulosin,CRM,Topical Cream,INHALATION,25 mg,25.0,mg,Respiratory,NDA-757246,60,Protect from light,HDPE bottle,True,2026-02-28T06:26:33.559857
626791940650857539,PROD-00098,Bevacizumab 500 mg Immediate-Release Tablet,Bevacizumab,BEVABRAND-96,Bevacizumab,TAB,Immediate-Release Tablet,TOPICAL,500 mg,500.0,mg,Cardiology,NDA-203225,24,Store at -20C,Glass vial,True,2026-02-28T06:26:33.559862
794905477928043973,PROD-00099,Dulaglutide 5 mg Hard Gelatin Capsule,Dulaglutide,DULABRAND-8,Dulaglutide,CAP,Hard Gelatin Capsule,ORAL,5 mg,5.0,mg,Endocrinology,NDA-551607,36,Store below 30C,Prefilled syringe,True,2026-02-28T06:26:33.559868
422999571939738722,PROD-00100,Carvedilol 200 mg Oral Suspension,Carvedilol,,Carvedilol,SUS,Oral Suspension,IM,200 mg,200.0,mg,Ophthalmology,NDA-749813,36,Store at -20C,Prefilled syringe,True,2026-02-28T06:26:33.559876
