site_key,site_id,site_code,site_name,site_type,address_line,city,state_province,country_code,country_name,regulatory_region,gmp_status,gmp_certificate_number,fda_fei_number,last_inspection_date,last_inspection_outcome,is_active,load_timestamp
795473164318541398,SITE-0018,SMX-018,Mexico Plant 18,MANUFACTURING,476 Industrial Blvd,City-18,State-18,MX,Mexico,FDA,APPROVED,GMP-MX-15222,,2022-09-06,NAI,True,2026-02-28T06:26:33.570893
1114374057383523306,SITE-0019,SES-019,Spain Plant 19,PACKAGING,52 Industrial Blvd,City-19,State-19,ES,Spain,EMA,APPROVED,GMP-ES-43072,,2024-05-21,NAI,True,2026-02-28T06:26:33.570899
352630313262767873,SITE-0020,SBE-020,Belgium Plant 20,PACKAGING,786 Industrial Blvd,City-20,State-20,BE,Belgium,EMA,APPROVED,GMP-BE-81139,,2023-07-02,VAI,True,2026-02-28T06:26:33.570908
114246666796624147,SITE-0021,SIT-021,Italy Plant 21,PACKAGING,428 Industrial Blvd,City-21,State-21,IT,Italy,EMA,APPROVED,GMP-IT-68559,,2023-10-27,NAI,True,2026-02-28T06:26:33.570914
878250793116557982,SITE-0022,SIL-022,Israel Plant 22,MANUFACTURING,611 Industrial Blvd,City-22,State-22,IL,Israel,,APPROVED,GMP-IL-56824,,2022-03-16,NAI,True,2026-02-28T06:26:33.570921
54631159255259265,SITE-0023,SBR-023,Brazil Plant 23,QC_TESTING,87 Industrial Blvd,City-23,State-23,BR,Brazil,,APPROVED,GMP-BR-26522,,2022-10-24,NAI,True,2026-02-28T06:26:33.570928
428432496504477680,SITE-0024,SMX-024,Mexico Plant 24,PACKAGING,354 Industrial Blvd,City-24,State-24,MX,Mexico,FDA,APPROVED,GMP-MX-90903,,2023-05-15,NAI,True,2026-02-28T06:26:33.570938
721739277798666228,SITE-0025,SDE-025,Germany Plant 25,MANUFACTURING,335 Industrial Blvd,City-25,State-25,DE,Germany,EMA,APPROVED,GMP-DE-15018,,2022-10-28,NAI,True,2026-02-28T06:26:33.570944
349700393308997088,SITE-0026,SKR-026,South Korea Plant 26,CRO,743 Industrial Blvd,City-26,State-26,KR,South Korea,,APPROVED,GMP-KR-54272,,2025-07-28,NAI,True,2026-02-28T06:26:33.570951
1090498828547780005,SITE-0027,SMX-027,Mexico Plant 27,CMO,23 Industrial Blvd,City-27,State-27,MX,Mexico,FDA,PENDING,GMP-MX-43666,,2025-08-30,NAI,True,2026-02-28T06:26:33.570970
612600359045210181,SITE-0028,STW-028,Taiwan Plant 28,CMO,989 Industrial Blvd,City-28,State-28,TW,Taiwan,,APPROVED,GMP-TW-35119,,2025-03-15,NAI,True,2026-02-28T06:26:33.570979
172384463309089249,SITE-0029,SIT-029,Italy Plant 29,CRO,527 Industrial Blvd,City-29,State-29,IT,Italy,EMA,PENDING,GMP-IT-16400,,2024-02-06,NAI,True,2026-02-28T06:26:33.570985
1063877619515961722,SITE-0030,SIN-030,India Plant 30,CMO,282 Industrial Blvd,City-30,State-30,IN,India,,PENDING,GMP-IN-46287,,2024-10-24,NAI,True,2026-02-28T06:26:33.570994
994180550334117185,SITE-0031,SSG-031,Singapore Plant 31,CMO,932 Industrial Blvd,City-31,State-31,SG,Singapore,,PENDING,GMP-SG-98894,,2023-08-07,NAI,True,2026-02-28T06:26:33.571001
397507641572828546,SITE-0032,SUS-032,United States Plant 32,CMO,213 Industrial Blvd,City-32,State-32,US,United States,FDA,APPROVED,GMP-US-64306,FEI-3177128,2023-07-17,NAI,True,2026-02-28T06:26:33.571008
28990666482691588,SITE-0033,SES-033,Spain Plant 33,CRO,810 Industrial Blvd,City-33,State-33,ES,Spain,EMA,APPROVED,GMP-ES-22733,,2023-03-30,VAI,True,2026-02-28T06:26:33.571014
883128150624758965,SITE-0034,SUS-034,United States Plant 34,PACKAGING,227 Industrial Blvd,City-34,State-34,US,United States,FDA,APPROVED,GMP-US-90135,FEI-5829008,2025-12-29,NAI,True,2026-02-28T06:26:33.571021
667669419394748145,SITE-0035,SIE-035,Ireland Plant 35,CMO,651 Industrial Blvd,City-35,State-35,IE,Ireland,EMA,APPROVED,GMP-IE-80969,,2024-03-07,NAI,True,2026-02-28T06:26:33.571029
1057351768623314821,SITE-0036,SPH-036,Philippines Plant 36,CRO,13 Industrial Blvd,City-36,State-36,PH,Philippines,,APPROVED,GMP-PH-54642,,2023-10-17,NAI,True,2026-02-28T06:26:33.571035
196092002886341781,SITE-0037,STW-037,Taiwan Plant 37,CMO,156 Industrial Blvd,City-37,State-37,TW,Taiwan,,APPROVED,GMP-TW-75401,,2023-03-08,VAI,True,2026-02-28T06:26:33.571042
192968342959973654,SITE-0038,SBE-038,Belgium Plant 38,CMO,262 Industrial Blvd,City-38,State-38,BE,Belgium,EMA,APPROVED,GMP-BE-14229,,2025-09-15,NAI,True,2026-02-28T06:26:33.571048
317572024261877103,SITE-0039,SIL-039,Israel Plant 39,CMO,575 Industrial Blvd,City-39,State-39,IL,Israel,,APPROVED,GMP-IL-20891,,2023-03-02,NAI,True,2026-02-28T06:26:33.571054
19632869490552304,SITE-0040,SIT-040,Italy Plant 40,PACKAGING,769 Industrial Blvd,City-40,State-40,IT,Italy,EMA,APPROVED,GMP-IT-69178,,2025-10-13,NAI,True,2026-02-28T06:26:33.571072
723297155562110187,SITE-0041,SUS-041,United States Plant 41,QC_TESTING,640 Industrial Blvd,City-41,State-41,US,United States,FDA,PENDING,GMP-US-91823,FEI-6899311,2025-03-02,NAI,True,2026-02-28T06:26:33.571079
587823240306444353,SITE-0042,SMX-042,Mexico Plant 42,MANUFACTURING,770 Industrial Blvd,City-42,State-42,MX,Mexico,FDA,APPROVED,GMP-MX-82933,,2024-10-02,VAI,True,2026-02-28T06:26:33.571086
933618731918284868,SITE-0043,SKR-043,South Korea Plant 43,CRO,135 Industrial Blvd,City-43,State-43,KR,South Korea,,APPROVED,GMP-KR-89576,,2022-09-10,NAI,True,2026-02-28T06:26:33.571095
1149565156025236853,SITE-0044,SKR-044,South Korea Plant 44,QC_TESTING,217 Industrial Blvd,City-44,State-44,KR,South Korea,,APPROVED,GMP-KR-84808,,2023-08-16,VAI,True,2026-02-28T06:26:33.571105
652713864818073742,SITE-0045,SMY-045,Malaysia Plant 45,QC_TESTING,786 Industrial Blvd,City-45,State-45,MY,Malaysia,,APPROVED,GMP-MY-82098,,2024-04-16,NAI,True,2026-02-28T06:26:33.571112
774915664313290064,SITE-0046,SZA-046,South Africa Plant 46,QC_TESTING,429 Industrial Blvd,City-46,State-46,ZA,South Africa,,APPROVED,GMP-ZA-51864,,2024-01-14,NAI,True,2026-02-28T06:26:33.571119
687171029622168373,SITE-0047,SBE-047,Belgium Plant 47,PACKAGING,515 Industrial Blvd,City-47,State-47,BE,Belgium,EMA,APPROVED,GMP-BE-39504,,2024-04-07,NAI,True,2026-02-28T06:26:33.571126
290983122066396445,SITE-0048,SZA-048,South Africa Plant 48,CMO,294 Industrial Blvd,City-48,State-48,ZA,South Africa,,APPROVED,GMP-ZA-30574,,2022-12-30,NAI,True,2026-02-28T06:26:33.571133
694738612452718043,SITE-0049,SIT-049,Italy Plant 49,MANUFACTURING,546 Industrial Blvd,City-49,State-49,IT,Italy,EMA,APPROVED,GMP-IT-70820,,2025-09-05,VAI,True,2026-02-28T06:26:33.571139
100801617554395358,SITE-0050,SBE-050,Belgium Plant 50,MANUFACTURING,393 Industrial Blvd,City-50,State-0,BE,Belgium,EMA,APPROVED,GMP-BE-64823,,2024-04-20,VAI,True,2026-02-28T06:26:33.571150
