laboratory_key,laboratory_id,laboratory_name,laboratory_type,site_key,accreditation_status,is_active,load_timestamp
1060474672937743587,LAB-0030,QC Lab E - Sweden Plant 6,CONTRACT,413331060368526253,GMP_COMPLIANT,True,2026-02-28T20:37:29.924283
1116695191844264016,LAB-0031,QC Lab F - India Plant 30,R_AND_D,1063877619515961722,GLP,True,2026-02-28T20:37:29.924285
751828176961934271,LAB-0032,QC Lab G - South Korea Plant 43,STABILITY,933618731918284868,ISO_17025,True,2026-02-28T20:37:29.924288
885874813203960318,LAB-0033,QC Lab H - Mexico Plant 42,STABILITY,587823240306444353,GLP,True,2026-02-28T20:37:29.924290
869219449182907231,LAB-0034,QC Lab I - Israel Plant 39,MICROBIOLOGY,317572024261877103,PENDING,True,2026-02-28T20:37:29.924293
1022012736702634630,LAB-0035,QC Lab J - United States Plant ,QC,723297155562110187,PENDING,True,2026-02-28T20:37:29.924295
99535736805890268,LAB-0036,QC Lab K - Taiwan Plant 37,CRO,196092002886341781,GLP,True,2026-02-28T20:37:29.924297
171190338075094710,LAB-0037,QC Lab L - Belgium Plant 11,CONTRACT,1130895423210570657,GMP_COMPLIANT,True,2026-02-28T20:37:29.924302
860260414642295687,LAB-0038,QC Lab M - Denmark Plant 16,STABILITY,212293228681572212,PENDING,True,2026-02-28T20:37:29.924304
313730700129500296,LAB-0039,QC Lab N - South Korea Plant 26,CRO,349700393308997088,ISO_17025,True,2026-02-28T20:37:29.924307
919480936588566605,LAB-0040,QC Lab O - Mexico Plant 18,CRO,795473164318541398,GMP_COMPLIANT,True,2026-02-28T20:37:29.924309
343449705615355170,LAB-0041,QC Lab P - Philippines Plant 17,QC,1011726151622241361,GMP_COMPLIANT,True,2026-02-28T20:37:29.924312
375596142460903620,LAB-0042,QC Lab Q - Belgium Plant 11,MICROBIOLOGY,1130895423210570657,GMP_COMPLIANT,True,2026-02-28T20:37:29.924314
614545118763801717,LAB-0043,QC Lab R - Japan Plant 8,CONTRACT,114090057959650911,GMP_COMPLIANT,True,2026-02-28T20:37:29.924317
672746974091707740,LAB-0044,QC Lab S - Italy Plant 29,CONTRACT,172384463309089249,ISO_17025,True,2026-02-28T20:37:29.924323
899183693944580807,LAB-0045,QC Lab T - Italy Plant 9,STABILITY,123897802993369418,GLP,True,2026-02-28T20:37:29.924325
346444505909226405,LAB-0046,QC Lab U - Mexico Plant 18,R_AND_D,795473164318541398,GLP,True,2026-02-28T20:37:29.924327
178867331840746877,LAB-0047,QC Lab V - United Kingdom Plant,CONTRACT,785882248787823823,ISO_17025,True,2026-02-28T20:37:29.924330
1142999512836231867,LAB-0048,QC Lab W - Netherlands Plant 1,STABILITY,46167523976552872,PENDING,True,2026-02-28T20:37:29.924332
741166072635063420,LAB-0049,QC Lab X - Belgium Plant 11,STABILITY,1130895423210570657,GMP_COMPLIANT,True,2026-02-28T20:37:29.924335
162154241518384596,LAB-0050,QC Lab Y - Belgium Plant 38,CRO,192968342959973654,PENDING,True,2026-02-28T20:37:29.924337
148404782973398723,LAB-0051,QC Lab Z - Netherlands Plant 1,MICROBIOLOGY,46167523976552872,PENDING,True,2026-02-28T20:37:29.924339
729275982071484992,LAB-0052,QC Lab A - Philippines Plant 36,QC,1057351768623314821,GLP,True,2026-02-28T20:37:29.924342
710883130071420379,LAB-0053,QC Lab B - Taiwan Plant 37,R_AND_D,196092002886341781,GMP_COMPLIANT,True,2026-02-28T20:37:29.924344
449095815018960848,LAB-0054,QC Lab C - Israel Plant 22,MICROBIOLOGY,878250793116557982,GLP,True,2026-02-28T20:37:29.924347
34086594104586700,LAB-0055,QC Lab D - Israel Plant 22,QC,878250793116557982,GMP_COMPLIANT,True,2026-02-28T20:37:29.924349
176397732856865506,LAB-0056,QC Lab E - Taiwan Plant 2,CONTRACT,327217897043323182,GLP,True,2026-02-28T20:37:29.924354
587356454209716084,LAB-0057,QC Lab F - South Korea Plant 26,R_AND_D,349700393308997088,GLP,True,2026-02-28T20:37:29.924357
1022680360436723379,LAB-0058,QC Lab G - Italy Plant 9,R_AND_D,123897802993369418,GMP_COMPLIANT,True,2026-02-28T20:37:29.924359
542620900037826860,LAB-0059,QC Lab H - Italy Plant 9,QC,123897802993369418,ISO_17025,True,2026-02-28T20:37:29.924361
1028770061453995216,LAB-0060,QC Lab I - Italy Plant 40,STABILITY,19632869490552304,GMP_COMPLIANT,True,2026-02-28T20:37:29.924364
162698876294640432,LAB-0061,QC Lab J - Italy Plant 21,STABILITY,114246666796624147,GLP,True,2026-02-28T20:37:29.924366
662348360748604212,LAB-0062,QC Lab K - Germany Plant 25,CONTRACT,721739277798666228,GLP,True,2026-02-28T20:37:29.924369
1141997907084559986,LAB-0063,QC Lab L - Spain Plant 33,MICROBIOLOGY,28990666482691588,ISO_17025,True,2026-02-28T20:37:29.924371
970954950804865079,LAB-0064,QC Lab M - Spain Plant 19,QC,1114374057383523306,ISO_17025,True,2026-02-28T20:37:29.924377
919624692821730945,LAB-0065,QC Lab N - United Kingdom Plant,CRO,785882248787823823,ISO_17025,True,2026-02-28T20:37:29.924379
286748421532528493,LAB-0066,QC Lab O - South Korea Plant 43,STABILITY,933618731918284868,GLP,True,2026-02-28T20:37:29.924382
1046758283930209871,LAB-0067,QC Lab P - Ireland Plant 35,CONTRACT,667669419394748145,GLP,True,2026-02-28T20:37:29.924384
111733239631309786,LAB-0068,QC Lab Q - Philippines Plant 17,MICROBIOLOGY,1011726151622241361,GMP_COMPLIANT,True,2026-02-28T20:37:29.924387
795155268682774303,LAB-0069,QC Lab R - India Plant 30,CONTRACT,1063877619515961722,GLP,True,2026-02-28T20:37:29.924391
765218287937135426,LAB-0070,QC Lab S - South Korea Plant 43,STABILITY,933618731918284868,GLP,True,2026-02-28T20:37:29.924394
788880604199395197,LAB-0071,QC Lab T - Taiwan Plant 2,QC,327217897043323182,ISO_17025,True,2026-02-28T20:37:29.924396
893931289668425892,LAB-0072,QC Lab U - South Africa Plant 4,MICROBIOLOGY,774915664313290064,GMP_COMPLIANT,True,2026-02-28T20:37:29.924399
602084037444377568,LAB-0073,QC Lab V - United Kingdom Plant,QC,467373117589015664,GLP,True,2026-02-28T20:37:29.924401
838831944907904717,LAB-0074,QC Lab W - South Korea Plant 44,MICROBIOLOGY,1149565156025236853,ISO_17025,True,2026-02-28T20:37:29.924404
489056866694464562,LAB-0075,QC Lab X - Spain Plant 33,QC,28990666482691588,GLP,True,2026-02-28T20:37:29.924406
110731425289244720,LAB-0076,QC Lab Y - Mexico Plant 42,STABILITY,587823240306444353,ISO_17025,True,2026-02-28T20:37:29.924408
207474553104910684,LAB-0077,QC Lab Z - United Kingdom Plant,STABILITY,785882248787823823,ISO_17025,True,2026-02-28T20:37:29.924410
497431570994248294,LAB-0078,QC Lab A - Taiwan Plant 2,QC,327217897043323182,GMP_COMPLIANT,True,2026-02-28T20:37:29.924413
525290019876702352,LAB-0079,QC Lab B - Netherlands Plant 1,CONTRACT,46167523976552872,PENDING,True,2026-02-28T20:37:29.924422
707379866325154696,LAB-0080,QC Lab C - Sweden Plant 6,MICROBIOLOGY,413331060368526253,PENDING,True,2026-02-28T20:37:29.924424
